**********
SEMILLA 10
**********
Iteración 210	 Error de entrenamiento: 0.0872692
Iteración 211	 Error de entrenamiento: 0.0870296
Iteración 212	 Error de entrenamiento: 0.0867944
Iteración 213	 Error de entrenamiento: 0.0865625
Iteración 214	 Error de entrenamiento: 0.086332
Iteración 215	 Error de entrenamiento: 0.0861007
Iteración 216	 Error de entrenamiento: 0.0858672
Iteración 217	 Error de entrenamiento: 0.0856308
Iteración 218	 Error de entrenamiento: 0.0853913
Iteración 219	 Error de entrenamiento: 0.0851491
Iteración 220	 Error de entrenamiento: 0.0849053
Iteración 221	 Error de entrenamiento: 0.0846616
Iteración 222	 Error de entrenamiento: 0.0844202
Iteración 223	 Error de entrenamiento: 0.0841828
Iteración 224	 Error de entrenamiento: 0.0839497
Iteración 225	 Error de entrenamiento: 0.0837198
Iteración 226	 Error de entrenamiento: 0.0834915
Iteración 227	 Error de entrenamiento: 0.0832634
Iteración 228	 Error de entrenamiento: 0.0830346
Iteración 229	 Error de entrenamiento: 0.0828054
Iteración 230	 Error de entrenamiento: 0.0825767
Iteración 231	 Error de entrenamiento: 0.08235
Iteración 232	 Error de entrenamiento: 0.0821267
Iteración 233	 Error de entrenamiento: 0.0819073
Iteración 234	 Error de entrenamiento: 0.0816907
Iteración 235	 Error de entrenamiento: 0.0814751
Iteración 236	 Error de entrenamiento: 0.0812583
Iteración 237	 Error de entrenamiento: 0.0810391
Iteración 238	 Error de entrenamiento: 0.0808169
Iteración 239	 Error de entrenamiento: 0.0805918
Iteración 240	 Error de entrenamiento: 0.0803645
Iteración 241	 Error de entrenamiento: 0.0801364
Iteración 242	 Error de entrenamiento: 0.0799099
Iteración 243	 Error de entrenamiento: 0.0796868
Iteración 244	 Error de entrenamiento: 0.0794681
Iteración 245	 Error de entrenamiento: 0.0792534
Iteración 246	 Error de entrenamiento: 0.0790408
Iteración 247	 Error de entrenamiento: 0.0788288
Iteración 248	 Error de entrenamiento: 0.0786163
Iteración 249	 Error de entrenamiento: 0.0784032
Iteración 250	 Error de entrenamiento: 0.0781903
Iteración 251	 Error de entrenamiento: 0.0779791
Iteración 252	 Error de entrenamiento: 0.0777713
Iteración 253	 Error de entrenamiento: 0.0775677
Iteración 254	 Error de entrenamiento: 0.0773674
Iteración 255	 Error de entrenamiento: 0.0771688
Iteración 256	 Error de entrenamiento: 0.0769697
Iteración 257	 Error de entrenamiento: 0.0767687
Iteración 258	 Error de entrenamiento: 0.0765652
Iteración 259	 Error de entrenamiento: 0.0763591
Iteración 260	 Error de entrenamiento: 0.0761512
