**********
SEMILLA 10
**********
Iteración 240	 Error de entrenamiento: 0.476337
Iteración 241	 Error de entrenamiento: 0.476384
Iteración 242	 Error de entrenamiento: 0.476431
Iteración 243	 Error de entrenamiento: 0.476477
Iteración 244	 Error de entrenamiento: 0.476522
Iteración 245	 Error de entrenamiento: 0.476567
Iteración 246	 Error de entrenamiento: 0.47661
Iteración 247	 Error de entrenamiento: 0.476653
Iteración 248	 Error de entrenamiento: 0.476696
Iteración 249	 Error de entrenamiento: 0.476738
Iteración 250	 Error de entrenamiento: 0.476779
Iteración 251	 Error de entrenamiento: 0.476819
Iteración 252	 Error de entrenamiento: 0.476859
Iteración 253	 Error de entrenamiento: 0.476898
Iteración 254	 Error de entrenamiento: 0.476936
Iteración 255	 Error de entrenamiento: 0.476974
Iteración 256	 Error de entrenamiento: 0.477012
Iteración 257	 Error de entrenamiento: 0.477048
Iteración 258	 Error de entrenamiento: 0.477084
Iteración 259	 Error de entrenamiento: 0.47712
Iteración 260	 Error de entrenamiento: 0.477155
Iteración 261	 Error de entrenamiento: 0.477189
Iteración 262	 Error de entrenamiento: 0.477223
Iteración 263	 Error de entrenamiento: 0.477256
Iteración 264	 Error de entrenamiento: 0.477289
Iteración 265	 Error de entrenamiento: 0.477321
Iteración 266	 Error de entrenamiento: 0.477352
Iteración 267	 Error de entrenamiento: 0.477383
Iteración 268	 Error de entrenamiento: 0.477414
Iteración 269	 Error de entrenamiento: 0.477444
Iteración 270	 Error de entrenamiento: 0.477474
Iteración 271	 Error de entrenamiento: 0.477503
Iteración 272	 Error de entrenamiento: 0.477531
Iteración 273	 Error de entrenamiento: 0.477559
Iteración 274	 Error de entrenamiento: 0.477587
Iteración 275	 Error de entrenamiento: 0.477614
Iteración 276	 Error de entrenamiento: 0.477641
Iteración 277	 Error de entrenamiento: 0.477667
Iteración 278	 Error de entrenamiento: 0.477693
Iteración 279	 Error de entrenamiento: 0.477719
Iteración 280	 Error de entrenamiento: 0.477744
Iteración 281	 Error de entrenamiento: 0.477768
Iteración 282	 Error de entrenamiento: 0.477792
Iteración 283	 Error de entrenamiento: 0.477816
Iteración 284	 Error de entrenamiento: 0.47784
Iteración 285	 Error de entrenamiento: 0.477863
Iteración 286	 Error de entrenamiento: 0.477885
Iteración 287	 Error de entrenamiento: 0.477907
Iteración 288	 Error de entrenamiento: 0.477929
Iteración 289	 Error de entrenamiento: 0.477951
Iteración 290	 Error de entrenamiento: 0.477972
Iteración 291	 Error de entrenamiento: 0.477993
Iteración 292	 Error de entrenamiento: 0.478013
Iteración 293	 Error de entrenamiento: 0.478033
Iteración 294	 Error de entrenamiento: 0.478053
Iteración 295	 Error de entrenamiento: 0.478072
Iteración 296	 Error de entrenamiento: 0.478091
Iteración 297	 Error de entrenamiento: 0.47811
Iteración 298	 Error de entrenamiento: 0.478128
Iteración 299	 Error de entrenamiento: 0.478146
Iteración 300	 Error de entrenamiento: 0.478164
Iteración 301	 Error de entrenamiento: 0.478182
Iteración 302	 Error de entrenamiento: 0.478199
Iteración 303	 Error de entrenamiento: 0.478216
Iteración 304	 Error de entrenamiento: 0.478233
Iteración 305	 Error de entrenamiento: 0.478249
Iteración 306	 Error de entrenamiento: 0.478265
Iteración 307	 Error de entrenamiento: 0.478281
Iteración 308	 Error de entrenamiento: 0.478296
Iteración 309	 Error de entrenamiento: 0.478311
Iteración 310	 Error de entrenamiento: 0.478326
Iteración 311	 Error de entrenamiento: 0.478341
Iteración 312	 Error de entrenamiento: 0.478356
Iteración 313	 Error de entrenamiento: 0.47837
Iteración 314	 Error de entrenamiento: 0.478384
Iteración 315	 Error de entrenamiento: 0.478398
Iteración 316	 Error de entrenamiento: 0.478411
Iteración 317	 Error de entrenamiento: 0.478424
Iteración 318	 Error de entrenamiento: 0.478437
Iteración 319	 Error de entrenamiento: 0.47845
Iteración 320	 Error de entrenamiento: 0.478463
Iteración 321	 Error de entrenamiento: 0.478475
Iteración 322	 Error de entrenamiento: 0.478487
Iteración 323	 Error de entrenamiento: 0.478499
Iteración 324	 Error de entrenamiento: 0.478511
Iteración 325	 Error de entrenamiento: 0.478523
Iteración 326	 Error de entrenamiento: 0.478534
Iteración 327	 Error de entrenamiento: 0.478545
Iteración 328	 Error de entrenamiento: 0.478556
Iteración 329	 Error de entrenamiento: 0.478567
Iteración 330	 Error de entrenamiento: 0.478577
Iteración 331	 Error de entrenamiento: 0.478588
Iteración 332	 Error de entrenamiento: 0.478598
Iteración 333	 Error de entrenamiento: 0.478608
Iteración 334	 Error de entrenamiento: 0.478618
Iteración 335	 Error de entrenamiento: 0.478628
Iteración 336	 Error de entrenamiento: 0.478637
Iteración 337	 Error de entrenamiento: 0.478646
Iteración 338	 Error de entrenamiento: 0.478656
Iteración 339	 Error de entrenamiento: 0.478665
Iteración 340	 Error de entrenamiento: 0.478674
Iteración 341	 Error de entrenamiento: 0.478682
Iteración 342	 Error de entrenamiento: 0.478691
Iteración 343	 Error de entrenamiento: 0.478699
Iteración 344	 Error de entrenamiento: 0.478708
Iteración 345	 Error de entrenamiento: 0.478716
Iteración 346	 Error de entrenamiento: 0.478724
Iteración 347	 Error de entrenamiento: 0.478731
Iteración 348	 Error de entrenamiento: 0.478739
