**********
SEMILLA 10
**********
Iteración 331	 Error de entrenamiento: 0.022031
Iteración 332	 Error de entrenamiento: 0.0220068
Iteración 333	 Error de entrenamiento: 0.0219827
Iteración 334	 Error de entrenamiento: 0.0219586
Iteración 335	 Error de entrenamiento: 0.0219347
Iteración 336	 Error de entrenamiento: 0.0219108
Iteración 337	 Error de entrenamiento: 0.021887
Iteración 338	 Error de entrenamiento: 0.0218632
Iteración 339	 Error de entrenamiento: 0.0218396
Iteración 340	 Error de entrenamiento: 0.021816
Iteración 341	 Error de entrenamiento: 0.0217925
Iteración 342	 Error de entrenamiento: 0.0217691
Iteración 343	 Error de entrenamiento: 0.0217458
Iteración 344	 Error de entrenamiento: 0.0217225
Iteración 345	 Error de entrenamiento: 0.0216994
Iteración 346	 Error de entrenamiento: 0.0216763
Iteración 347	 Error de entrenamiento: 0.0216533
Iteración 348	 Error de entrenamiento: 0.0216304
Iteración 349	 Error de entrenamiento: 0.0216076
Iteración 350	 Error de entrenamiento: 0.0215849
Iteración 351	 Error de entrenamiento: 0.0215623
Iteración 352	 Error de entrenamiento: 0.0215398
Iteración 353	 Error de entrenamiento: 0.0215174
Iteración 354	 Error de entrenamiento: 0.021495
Iteración 355	 Error de entrenamiento: 0.0214728
Iteración 356	 Error de entrenamiento: 0.0214507
Iteración 357	 Error de entrenamiento: 0.0214287
Iteración 358	 Error de entrenamiento: 0.0214068
Iteración 359	 Error de entrenamiento: 0.0213849
Iteración 360	 Error de entrenamiento: 0.0213632
Iteración 361	 Error de entrenamiento: 0.0213417
Iteración 362	 Error de entrenamiento: 0.0213202
Iteración 363	 Error de entrenamiento: 0.0212988
Iteración 364	 Error de entrenamiento: 0.0212776
Iteración 365	 Error de entrenamiento: 0.0212564
Iteración 366	 Error de entrenamiento: 0.0212354
Iteración 367	 Error de entrenamiento: 0.0212145
Iteración 368	 Error de entrenamiento: 0.0211938
Iteración 369	 Error de entrenamiento: 0.0211731
Iteración 370	 Error de entrenamiento: 0.0211526
Iteración 371	 Error de entrenamiento: 0.0211322
Iteración 372	 Error de entrenamiento: 0.0211119
Iteración 373	 Error de entrenamiento: 0.0210917
Iteración 374	 Error de entrenamiento: 0.0210717
Iteración 375	 Error de entrenamiento: 0.0210518
Iteración 376	 Error de entrenamiento: 0.021032
Iteración 377	 Error de entrenamiento: 0.0210123
Iteración 378	 Error de entrenamiento: 0.0209928
Iteración 379	 Error de entrenamiento: 0.0209734
Iteración 380	 Error de entrenamiento: 0.0209541
Iteración 381	 Error de entrenamiento: 0.0209349
Iteración 382	 Error de entrenamiento: 0.0209159
Iteración 383	 Error de entrenamiento: 0.020897
Iteración 384	 Error de entrenamiento: 0.0208781
Iteración 385	 Error de entrenamiento: 0.0208595
Iteración 386	 Error de entrenamiento: 0.0208409
Iteración 387	 Error de entrenamiento: 0.0208224
Iteración 388	 Error de entrenamiento: 0.0208041
Iteración 389	 Error de entrenamiento: 0.0207858
Iteración 390	 Error de entrenamiento: 0.0207677
Iteración 391	 Error de entrenamiento: 0.0207497
Iteración 392	 Error de entrenamiento: 0.0207318
Iteración 393	 Error de entrenamiento: 0.020714
Iteración 394	 Error de entrenamiento: 0.0206963
Iteración 395	 Error de entrenamiento: 0.0206787
Iteración 396	 Error de entrenamiento: 0.0206612
Iteración 397	 Error de entrenamiento: 0.0206438
Iteración 398	 Error de entrenamiento: 0.0206265
Iteración 399	 Error de entrenamiento: 0.0206092
Iteración 400	 Error de entrenamiento: 0.0205921
Iteración 401	 Error de entrenamiento: 0.020575
Iteración 402	 Error de entrenamiento: 0.0205581
Iteración 403	 Error de entrenamiento: 0.0205412
Iteración 404	 Error de entrenamiento: -nan
Iteración 405	 Error de entrenamiento: nan
Iteración 406	 Error de entrenamiento: nan
Iteración 407	 Error de entrenamiento: nan
Iteración 408	 Error de entrenamiento: nan
Iteración 409	 Error de entrenamiento: nan
Iteración 410	 Error de entrenamiento: nan
Iteración 411	 Error de entrenamiento: nan
Iteración 412	 Error de entrenamiento: nan
Iteración 413	 Error de entrenamiento: nan
Iteración 414	 Error de entrenamiento: nan
Iteración 415	 Error de entrenamiento: nan
Iteración 416	 Error de entrenamiento: nan
Iteración 417	 Error de entrenamiento: nan
Iteración 418	 Error de entrenamiento: nan
Iteración 419	 Error de entrenamiento: nan
Iteración 420	 Error de entrenamiento: nan
Iteración 421	 Error de entrenamiento: nan
Iteración 422	 Error de entrenamiento: nan
Iteración 423	 Error de entrenamiento: nan
Iteración 424	 Error de entrenamiento: nan
Iteración 425	 Error de entrenamiento: nan
Iteración 426	 Error de entrenamiento: nan
Iteración 427	 Error de entrenamiento: nan
Iteración 428	 Error de entrenamiento: nan
Iteración 429	 Error de entrenamiento: nan
Iteración 430	 Error de entrenamiento: nan
Iteración 431	 Error de entrenamiento: nan
Iteración 432	 Error de entrenamiento: nan
Iteración 433	 Error de entrenamiento: nan
Iteración 434	 Error de entrenamiento: nan
Iteración 435	 Error de entrenamiento: nan
Iteración 436	 Error de entrenamiento: nan
Iteración 437	 Error de entrenamiento: nan
Iteración 438	 Error de entrenamiento: nan
Iteración 439	 Error de entrenamiento: nan
Iteración 440	 Error de entrenamiento: nan
Iteración 441	 Error de entrenamiento: nan
Iteración 442	 Error de entrenamiento: nan
Iteración 443	 Error de entrenamiento: nan
Iteración 444	 Error de entrenamiento: nan
Iteración 445	 Error de entrenamiento: nan
Iteración 446	 Error de entrenamiento: nan
Iteración 447	 Error de entrenamiento: nan
Iteración 448	 Error de entrenamiento: nan
Iteración 449	 Error de entrenamiento: nan
Iteración 450	 Error de entrenamiento: nan
Iteración 451	 Error de entrenamiento: nan
Iteración 452	 Error de entrenamiento: nan
Iteración 1001	 Error de entrenamiento: nan
PESOS DE LA RED
===============
Vamos  a imprimir las entradas de las neuronas

Capa: 1
0.0472632 0.235509 0.0449948 -0.627244 Salida: -nan
