**********
SEMILLA 10
**********
Iteración 437	 Error de entrenamiento: 0,0253316
Iteración 438	 Error de entrenamiento: 0,0252763
Iteración 439	 Error de entrenamiento: 0,0252217
Iteración 440	 Error de entrenamiento: 0,0251679
Iteración 441	 Error de entrenamiento: 0,0251147
Iteración 442	 Error de entrenamiento: 0,0250622
Iteración 443	 Error de entrenamiento: 0,0250104
Iteración 444	 Error de entrenamiento: 0,0249593
Iteración 445	 Error de entrenamiento: 0,024909
Iteración 446	 Error de entrenamiento: 0,0248593
Iteración 447	 Error de entrenamiento: 0,0248104
Iteración 448	 Error de entrenamiento: 0,0247621
Iteración 449	 Error de entrenamiento: 0,0247146
Iteración 450	 Error de entrenamiento: 0,0246678
Iteración 451	 Error de entrenamiento: 0,0246217
Iteración 452	 Error de entrenamiento: 0,0245763
Iteración 453	 Error de entrenamiento: 0,0245316
Iteración 454	 Error de entrenamiento: 0,0244877
Iteración 455	 Error de entrenamiento: 0,0244445
Iteración 456	 Error de entrenamiento: 0,024402
Iteración 457	 Error de entrenamiento: 0,0243603
Iteración 458	 Error de entrenamiento: 0,0243192
Iteración 459	 Error de entrenamiento: 0,0242789
Iteración 460	 Error de entrenamiento: 0,0242394
Iteración 461	 Error de entrenamiento: 0,0242006
Iteración 462	 Error de entrenamiento: 0,0241625
Iteración 463	 Error de entrenamiento: 0,0241251
Iteración 464	 Error de entrenamiento: 0,0240885
Iteración 465	 Error de entrenamiento: 0,0240526
Iteración 466	 Error de entrenamiento: 0,0240175
Iteración 467	 Error de entrenamiento: 0,0239831
Iteración 468	 Error de entrenamiento: 0,0239494
Iteración 469	 Error de entrenamiento: 0,0239165
Iteración 470	 Error de entrenamiento: 0,0238843
Iteración 471	 Error de entrenamiento: 0,0238529
Iteración 472	 Error de entrenamiento: 0,0238222
Iteración 473	 Error de entrenamiento: 0,0237922
Iteración 474	 Error de entrenamiento: 0,0237629
Iteración 475	 Error de entrenamiento: 0,0237344
