**********
SEMILLA 10
**********
Iteración 218	 Error de entrenamiento: 0,0463278
Iteración 219	 Error de entrenamiento: 0,0463019
Iteración 220	 Error de entrenamiento: 0,0462763
Iteración 221	 Error de entrenamiento: 0,0462511
Iteración 222	 Error de entrenamiento: 0,0462262
Iteración 223	 Error de entrenamiento: 0,0462016
Iteración 224	 Error de entrenamiento: 0,0461774
Iteración 225	 Error de entrenamiento: 0,0461536
Iteración 226	 Error de entrenamiento: 0,0461302
Iteración 227	 Error de entrenamiento: 0,0461072
Iteración 228	 Error de entrenamiento: 0,0460847
Iteración 229	 Error de entrenamiento: 0,0460625
Iteración 230	 Error de entrenamiento: 0,0460409
Iteración 231	 Error de entrenamiento: 0,0460196
Iteración 232	 Error de entrenamiento: 0,0459989
Iteración 233	 Error de entrenamiento: 0,0459787
Iteración 234	 Error de entrenamiento: 0,045959
Iteración 235	 Error de entrenamiento: 0,0459398
Iteración 236	 Error de entrenamiento: 0,0459211
Iteración 237	 Error de entrenamiento: 0,045903
Iteración 238	 Error de entrenamiento: 0,0458854
Iteración 239	 Error de entrenamiento: 0,0458684
Iteración 240	 Error de entrenamiento: 0,045852
Iteración 241	 Error de entrenamiento: 0,0458361
Iteración 242	 Error de entrenamiento: 0,0458209
Iteración 243	 Error de entrenamiento: 0,0458062
Iteración 244	 Error de entrenamiento: 0,0457922
Iteración 245	 Error de entrenamiento: 0,0457788
Iteración 246	 Error de entrenamiento: 0,045766
Iteración 247	 Error de entrenamiento: 0,0457538
Iteración 248	 Error de entrenamiento: 0,0457423
Iteración 249	 Error de entrenamiento: 0,0457314
Iteración 250	 Error de entrenamiento: 0,0457211
Iteración 251	 Error de entrenamiento: 0,0457115
Iteración 252	 Error de entrenamiento: 0,0457026
Iteración 253	 Error de entrenamiento: 0,0456942
Iteración 254	 Error de entrenamiento: 0,0456866
Iteración 255	 Error de entrenamiento: 0,0456795
Iteración 256	 Error de entrenamiento: 0,0456732
Iteración 257	 Error de entrenamiento: 0,0456674
Iteración 258	 Error de entrenamiento: 0,0456624
Iteración 259	 Error de entrenamiento: 0,0456579
Iteración 260	 Error de entrenamiento: 0,0456541
Iteración 261	 Error de entrenamiento: 0,045651
Iteración 262	 Error de entrenamiento: 0,0456485
Iteración 263	 Error de entrenamiento: 0,0456466
Iteración 264	 Error de entrenamiento: 0,0456454
Iteración 265	 Error de entrenamiento: 0,0456448
Iteración 266	 Error de entrenamiento: 0,0456449
Iteración 267	 Error de entrenamiento: 0,0456455
Iteración 268	 Error de entrenamiento: 0,0456468
Iteración 269	 Error de entrenamiento: 0,0456487
Iteración 270	 Error de entrenamiento: 0,0456512
Iteración 271	 Error de entrenamiento: 0,0456544
Iteración 272	 Error de entrenamiento: 0,0456581
Iteración 273	 Error de entrenamiento: 0,0456624
Iteración 274	 Error de entrenamiento: 0,0456674
Iteración 275	 Error de entrenamiento: 0,0456729
Iteración 276	 Error de entrenamiento: 0,045679
Iteración 277	 Error de entrenamiento: 0,0456857
Iteración 278	 Error de entrenamiento: 0,045693
Iteración 279	 Error de entrenamiento: 0,0457008
Iteración 280	 Error de entrenamiento: 0,0457092
Iteración 281	 Error de entrenamiento: 0,0457181
Iteración 282	 Error de entrenamiento: 0,0457276
Iteración 283	 Error de entrenamiento: 0,0457376
Iteración 284	 Error de entrenamiento: 0,0457481
Iteración 285	 Error de entrenamiento: 0,0457592
Iteración 286	 Error de entrenamiento: 0,0457707
Iteración 287	 Error de entrenamiento: 0,0457828
Iteración 288	 Error de entrenamiento: 0,0457953
Iteración 289	 Error de entrenamiento: 0,0458083
Iteración 290	 Error de entrenamiento: 0,0458217
Iteración 291	 Error de entrenamiento: 0,0458355
Iteración 292	 Error de entrenamiento: 0,0458498
Iteración 293	 Error de entrenamiento: 0,0458645
Iteración 294	 Error de entrenamiento: 0,0458796
Iteración 295	 Error de entrenamiento: 0,045895
Iteración 296	 Error de entrenamiento: 0,0459108
Iteración 297	 Error de entrenamiento: 0,0459269
Iteración 298	 Error de entrenamiento: 0,0459433
Iteración 299	 Error de entrenamiento: 0,04596
Iteración 300	 Error de entrenamiento: 0,0459769
Iteración 301	 Error de entrenamiento: 0,0459941
Iteración 302	 Error de entrenamiento: 0,0460115
Iteración 303	 Error de entrenamiento: 0,046029
Iteración 304	 Error de entrenamiento: 0,0460468
Iteración 305	 Error de entrenamiento: 0,0460646
Iteración 306	 Error de entrenamiento: 0,0460826
Iteración 307	 Error de entrenamiento: 0,0461006
Iteración 308	 Error de entrenamiento: 0,0461187
Iteración 309	 Error de entrenamiento: 0,0461368
Iteración 310	 Error de entrenamiento: 0,0461549
Iteración 311	 Error de entrenamiento: 0,046173
Iteración 312	 Error de entrenamiento: 0,046191
Iteración 313	 Error de entrenamiento: 0,0462089
Iteración 314	 Error de entrenamiento: 0,0462267
Iteración 315	 Error de entrenamiento: 0,0462444
Iteración 316	 Error de entrenamiento: 0,0462619
Iteración 317	 Error de entrenamiento: 0,0462791
Iteración 318	 Error de entrenamiento: 0,0462962
Iteración 319	 Error de entrenamiento: 0,046313
Iteración 320	 Error de entrenamiento: 0,0463295
Iteración 321	 Error de entrenamiento: 0,0463456
Iteración 322	 Error de entrenamiento: 0,0463615
Iteración 323	 Error de entrenamiento: 0,046377
Iteración 324	 Error de entrenamiento: 0,0463921
Iteración 325	 Error de entrenamiento: 0,0464068
Iteración 326	 Error de entrenamiento: 0,0464211
Iteración 327	 Error de entrenamiento: 0,0464349
Iteración 328	 Error de entrenamiento: 0,0464483
Iteración 329	 Error de entrenamiento: 0,0464612
Iteración 330	 Error de entrenamiento: 0,0464735
Iteración 331	 Error de entrenamiento: 0,0464854
Iteración 332	 Error de entrenamiento: 0,0464967
Iteración 333	 Error de entrenamiento: 0,0465074
Iteración 334	 Error de entrenamiento: 0,0465176
Iteración 335	 Error de entrenamiento: 0,0465272
Iteración 336	 Error de entrenamiento: 0,0465362
Iteración 337	 Error de entrenamiento: 0,0465445
Iteración 338	 Error de entrenamiento: 0,0465523
Iteración 339	 Error de entrenamiento: 0,0465595
Iteración 340	 Error de entrenamiento: 0,046566
Iteración 341	 Error de entrenamiento: 0,0465718
Iteración 342	 Error de entrenamiento: 0,0465771
Iteración 343	 Error de entrenamiento: 0,0465817
Iteración 344	 Error de entrenamiento: 0,0465856
Iteración 345	 Error de entrenamiento: 0,0465889
Iteración 346	 Error de entrenamiento: 0,0465915
Iteración 347	 Error de entrenamiento: 0,0465934
Iteración 348	 Error de entrenamiento: 0,0465947
Iteración 349	 Error de entrenamiento: 0,0465954
Iteración 350	 Error de entrenamiento: 0,0465954
Iteración 351	 Error de entrenamiento: 0,0465948
Iteración 352	 Error de entrenamiento: 0,0465935
Iteración 353	 Error de entrenamiento: 0,0465916
Iteración 354	 Error de entrenamiento: 0,046589
Iteración 355	 Error de entrenamiento: 0,0465858
Iteración 356	 Error de entrenamiento: 0,046582
Iteración 357	 Error de entrenamiento: 0,0465776
Iteración 358	 Error de entrenamiento: 0,0465726
Iteración 359	 Error de entrenamiento: 0,0465671
Iteración 360	 Error de entrenamiento: 0,0465609
Iteración 361	 Error de entrenamiento: 0,0465542
Iteración 362	 Error de entrenamiento: 0,0465469
Iteración 363	 Error de entrenamiento: 0,0465391
Iteración 364	 Error de entrenamiento: 0,0465308
Iteración 365	 Error de entrenamiento: 0,0465219
Iteración 366	 Error de entrenamiento: 0,0465126
Iteración 367	 Error de entrenamiento: 0,0465028
Iteración 368	 Error de entrenamiento: 0,0464925
Iteración 369	 Error de entrenamiento: 0,0464817
Iteración 370	 Error de entrenamiento: 0,0464706
Iteración 371	 Error de entrenamiento: 0,046459
Iteración 372	 Error de entrenamiento: 0,046447
Iteración 373	 Error de entrenamiento: 0,0464346
Iteración 374	 Error de entrenamiento: 0,0464218
Iteración 375	 Error de entrenamiento: 0,0464087
Iteración 376	 Error de entrenamiento: 0,0463953
Iteración 377	 Error de entrenamiento: 0,0463816
Iteración 378	 Error de entrenamiento: 0,0463675
Iteración 379	 Error de entrenamiento: 0,0463532
Iteración 380	 Error de entrenamiento: 0,0463386
Iteración 381	 Error de entrenamiento: 0,0463238
Iteración 382	 Error de entrenamiento: 0,0463087
Iteración 383	 Error de entrenamiento: 0,0462935
Iteración 384	 Error de entrenamiento: 0,046278
Iteración 385	 Error de entrenamiento: 0,0462624
Iteración 386	 Error de entrenamiento: 0,0462467
Iteración 387	 Error de entrenamiento: 0,0462308
Iteración 388	 Error de entrenamiento: 0,0462147
Iteración 389	 Error de entrenamiento: 0,0461986
Iteración 390	 Error de entrenamiento: 0,0461824
Iteración 391	 Error de entrenamiento: 0,0461662
Iteración 392	 Error de entrenamiento: 0,0461498
Iteración 393	 Error de entrenamiento: 0,0461335
Iteración 394	 Error de entrenamiento: 0,0461171
Iteración 395	 Error de entrenamiento: 0,0461008
Iteración 396	 Error de entrenamiento: 0,0460844
Iteración 397	 Error de entrenamiento: 0,0460681
Iteración 398	 Error de entrenamiento: 0,0460518
Iteración 399	 Error de entrenamiento: 0,0460356
Iteración 400	 Error de entrenamiento: 0,0460195
Iteración 401	 Error de entrenamiento: 0,0460035
Iteración 402	 Error de entrenamiento: 0,0459876
Iteración 403	 Error de entrenamiento: 0,0459717
Iteración 404	 Error de entrenamiento: 0,0459561
Iteración 405	 Error de entrenamiento: 0,0459405
Iteración 406	 Error de entrenamiento: 0,0459251
Iteración 407	 Error de entrenamiento: 0,0459099
Iteración 408	 Error de entrenamiento: 0,0458948
Iteración 409	 Error de entrenamiento: 0,04588
Iteración 410	 Error de entrenamiento: 0,0458653
Iteración 411	 Error de entrenamiento: 0,0458508
Iteración 412	 Error de entrenamiento: 0,0458366
Iteración 413	 Error de entrenamiento: 0,0458226
Iteración 414	 Error de entrenamiento: 0,0458087
Iteración 415	 Error de entrenamiento: 0,0457952
Iteración 416	 Error de entrenamiento: 0,0457818
Iteración 417	 Error de entrenamiento: 0,0457688
Iteración 418	 Error de entrenamiento: 0,0457559
Iteración 419	 Error de entrenamiento: 0,0457434
Iteración 420	 Error de entrenamiento: 0,045731
Iteración 421	 Error de entrenamiento: 0,045719
Iteración 422	 Error de entrenamiento: 0,0457072
Iteración 423	 Error de entrenamiento: 0,0456957
Iteración 424	 Error de entrenamiento: 0,0456844
Iteración 425	 Error de entrenamiento: 0,0456734
Iteración 426	 Error de entrenamiento: 0,0456627
Iteración 427	 Error de entrenamiento: 0,0456523
Iteración 428	 Error de entrenamiento: 0,0456421
Iteración 429	 Error de entrenamiento: 0,0456322
Iteración 430	 Error de entrenamiento: 0,0456226
Iteración 431	 Error de entrenamiento: 0,0456132
Iteración 432	 Error de entrenamiento: 0,0456041
Iteración 433	 Error de entrenamiento: 0,0455953
Iteración 434	 Error de entrenamiento: 0,0455867
Iteración 435	 Error de entrenamiento: 0,0455784
Iteración 436	 Error de entrenamiento: 0,0455703
Iteración 437	 Error de entrenamiento: 0,0455624
Iteración 438	 Error de entrenamiento: 0,0455549
Iteración 439	 Error de entrenamiento: 0,0455475
Iteración 440	 Error de entrenamiento: 0,0455404
Iteración 441	 Error de entrenamiento: 0,0455335
Iteración 442	 Error de entrenamiento: 0,0455268
Iteración 443	 Error de entrenamiento: 0,0455203
Iteración 444	 Error de entrenamiento: 0,0455141
Iteración 445	 Error de entrenamiento: 0,045508
Iteración 446	 Error de entrenamiento: 0,0455022
Iteración 447	 Error de entrenamiento: 0,0454965
Iteración 448	 Error de entrenamiento: 0,045491
Iteración 449	 Error de entrenamiento: 0,0454857
Iteración 450	 Error de entrenamiento: 0,0454806
Iteración 451	 Error de entrenamiento: 0,0454756
Iteración 452	 Error de entrenamiento: 0,0454708
Iteración 453	 Error de entrenamiento: 0,0454661
Iteración 454	 Error de entrenamiento: 0,0454615
Iteración 455	 Error de entrenamiento: 0,0454571
Iteración 456	 Error de entrenamiento: 0,0454529
Iteración 457	 Error de entrenamiento: 0,0454487
Iteración 458	 Error de entrenamiento: 0,0454447
Iteración 459	 Error de entrenamiento: 0,0454407
Iteración 460	 Error de entrenamiento: 0,0454369
Iteración 461	 Error de entrenamiento: 0,0454331
Iteración 462	 Error de entrenamiento: 0,0454295
Iteración 463	 Error de entrenamiento: 0,0454259
Iteración 464	 Error de entrenamiento: 0,0454224
Iteración 465	 Error de entrenamiento: 0,045419
Iteración 466	 Error de entrenamiento: 0,0454156
Iteración 467	 Error de entrenamiento: 0,0454122
Iteración 468	 Error de entrenamiento: 0,0454089
Iteración 469	 Error de entrenamiento: 0,0454057
Iteración 470	 Error de entrenamiento: 0,0454025
Iteración 471	 Error de entrenamiento: 0,0453993
Iteración 472	 Error de entrenamiento: 0,0453962
Iteración 473	 Error de entrenamiento: 0,045393
Iteración 474	 Error de entrenamiento: 0,0453899
Iteración 475	 Error de entrenamiento: 0,0453868
Iteración 476	 Error de entrenamiento: 0,0453836
Iteración 477	 Error de entrenamiento: 0,0453805
Iteración 478	 Error de entrenamiento: 0,0453774
Iteración 479	 Error de entrenamiento: 0,0453742
Iteración 480	 Error de entrenamiento: 0,0453711
Iteración 481	 Error de entrenamiento: 0,0453679
Iteración 482	 Error de entrenamiento: 0,0453647
Iteración 483	 Error de entrenamiento: 0,0453614
Iteración 484	 Error de entrenamiento: 0,0453582
Iteración 485	 Error de entrenamiento: 0,0453548
Iteración 486	 Error de entrenamiento: 0,0453515
Iteración 487	 Error de entrenamiento: 0,0453481
Iteración 488	 Error de entrenamiento: 0,0453446
Iteración 489	 Error de entrenamiento: 0,0453411
Iteración 490	 Error de entrenamiento: 0,0453375
Iteración 491	 Error de entrenamiento: 0,0453339
Iteración 492	 Error de entrenamiento: 0,0453302
Iteración 493	 Error de entrenamiento: 0,0453264
Iteración 494	 Error de entrenamiento: 0,0453225
Iteración 495	 Error de entrenamiento: 0,0453186
Iteración 496	 Error de entrenamiento: 0,0453146
Iteración 497	 Error de entrenamiento: 0,0453105
Iteración 498	 Error de entrenamiento: 0,0453064
Iteración 499	 Error de entrenamiento: 0,0453021
Iteración 500	 Error de entrenamiento: 0,0452978
Iteración 501	 Error de entrenamiento: 0,0452934
Iteración 502	 Error de entrenamiento: 0,0452888
Iteración 503	 Error de entrenamiento: 0,0452842
Iteración 504	 Error de entrenamiento: 0,0452795
