**********
SEMILLA 10
**********
Iteración 187	 Error de entrenamiento: 0.0810963
Iteración 188	 Error de entrenamiento: 0.0807907
Iteración 189	 Error de entrenamiento: 0.0804835
Iteración 190	 Error de entrenamiento: 0.0801761
Iteración 191	 Error de entrenamiento: 0.0798701
Iteración 192	 Error de entrenamiento: 0.0795669
Iteración 193	 Error de entrenamiento: 0.0792682
Iteración 194	 Error de entrenamiento: 0.0789756
Iteración 195	 Error de entrenamiento: 0.0786912
Iteración 196	 Error de entrenamiento: 0.0784168
Iteración 197	 Error de entrenamiento: 0.0781535
Iteración 198	 Error de entrenamiento: 0.0779031
Iteración 199	 Error de entrenamiento: 0.0776664
Iteración 200	 Error de entrenamiento: 0.0774419
Iteración 201	 Error de entrenamiento: 0.077225
Iteración 202	 Error de entrenamiento: 0.0770093
Iteración 203	 Error de entrenamiento: 0.076789
Iteración 204	 Error de entrenamiento: 0.0765603
Iteración 205	 Error de entrenamiento: 0.0763224
Iteración 206	 Error de entrenamiento: 0.0760775
Iteración 207	 Error de entrenamiento: 0.0758299
Iteración 208	 Error de entrenamiento: 0.0755827
Iteración 209	 Error de entrenamiento: 0.0753365
Iteración 210	 Error de entrenamiento: 0.0750899
Iteración 211	 Error de entrenamiento: 0.0748419
Iteración 212	 Error de entrenamiento: 0.0745929
Iteración 213	 Error de entrenamiento: 0.0743441
Iteración 214	 Error de entrenamiento: 0.0740968
Iteración 215	 Error de entrenamiento: 0.0738519
Iteración 216	 Error de entrenamiento: 0.0736095
Iteración 217	 Error de entrenamiento: 0.0733703
Iteración 218	 Error de entrenamiento: 0.073135
Iteración 219	 Error de entrenamiento: 0.0729043
Iteración 220	 Error de entrenamiento: 0.0726771
Iteración 221	 Error de entrenamiento: 0.0724505
Iteración 222	 Error de entrenamiento: 0.0722222
Iteración 223	 Error de entrenamiento: 0.0719921
Iteración 224	 Error de entrenamiento: 0.0717621
Iteración 225	 Error de entrenamiento: 0.0715344
Iteración 226	 Error de entrenamiento: 0.0713102
Iteración 227	 Error de entrenamiento: 0.0710888
Iteración 228	 Error de entrenamiento: 0.070869
Iteración 229	 Error de entrenamiento: 0.0706492
Iteración 230	 Error de entrenamiento: 0.0704282
Iteración 231	 Error de entrenamiento: 0.0702054
Iteración 232	 Error de entrenamiento: 0.0699809
Iteración 233	 Error de entrenamiento: 0.0697561
Iteración 234	 Error de entrenamiento: 0.0695338
Iteración 235	 Error de entrenamiento: 0.0693172
Iteración 236	 Error de entrenamiento: 0.0691093
Iteración 237	 Error de entrenamiento: 0.0689117
Iteración 238	 Error de entrenamiento: 0.068724
Iteración 239	 Error de entrenamiento: 0.0685442
Iteración 240	 Error de entrenamiento: 0.0683691
Iteración 241	 Error de entrenamiento: 0.0681959
Iteración 242	 Error de entrenamiento: 0.0680219
Iteración 243	 Error de entrenamiento: 0.0678448
Iteración 244	 Error de entrenamiento: 0.0676631
Iteración 245	 Error de entrenamiento: 0.0674755
Iteración 246	 Error de entrenamiento: 0.067281
Iteración 247	 Error de entrenamiento: 0.0670792
Iteración 248	 Error de entrenamiento: 0.0668704
Iteración 249	 Error de entrenamiento: 0.0666558
Iteración 250	 Error de entrenamiento: 0.0664377
Iteración 251	 Error de entrenamiento: 0.0662188
Iteración 252	 Error de entrenamiento: 0.0660024
Iteración 253	 Error de entrenamiento: 0.0657911
Iteración 254	 Error de entrenamiento: 0.065587
Iteración 255	 Error de entrenamiento: 0.0653915
Iteración 256	 Error de entrenamiento: 0.0652045
Iteración 257	 Error de entrenamiento: 0.0650248
Iteración 258	 Error de entrenamiento: 0.064851
Iteración 259	 Error de entrenamiento: 0.0646818
Iteración 260	 Error de entrenamiento: 0.064516
Iteración 261	 Error de entrenamiento: 0.0643524
Iteración 262	 Error de entrenamiento: 0.0641897
Iteración 263	 Error de entrenamiento: 0.0640263
Iteración 264	 Error de entrenamiento: 0.0638605
Iteración 265	 Error de entrenamiento: 0.0636911
Iteración 266	 Error de entrenamiento: 0.0635175
Iteración 267	 Error de entrenamiento: 0.0633397
Iteración 268	 Error de entrenamiento: 0.0631586
Iteración 269	 Error de entrenamiento: 0.062975
Iteración 270	 Error de entrenamiento: 0.0627902
Iteración 271	 Error de entrenamiento: 0.0626052
Iteración 272	 Error de entrenamiento: 0.0624211
Iteración 273	 Error de entrenamiento: 0.0622391
Iteración 274	 Error de entrenamiento: 0.06206
Iteración 275	 Error de entrenamiento: 0.0618845
Iteración 276	 Error de entrenamiento: 0.0617127
Iteración 277	 Error de entrenamiento: 0.0615444
Iteración 278	 Error de entrenamiento: 0.0613794
Iteración 279	 Error de entrenamiento: 0.0612176
Iteración 280	 Error de entrenamiento: 0.0610593
Iteración 281	 Error de entrenamiento: 0.0609055
Iteración 282	 Error de entrenamiento: 0.0607571
Iteración 283	 Error de entrenamiento: 0.0606145
Iteración 284	 Error de entrenamiento: 0.0604763
Iteración 285	 Error de entrenamiento: 0.0603396
Iteración 286	 Error de entrenamiento: 0.060201
Iteración 287	 Error de entrenamiento: 0.0600582
Iteración 288	 Error de entrenamiento: 0.0599101
Iteración 289	 Error de entrenamiento: 0.0597568
Iteración 290	 Error de entrenamiento: 0.059599
Iteración 291	 Error de entrenamiento: 0.0594372
Iteración 292	 Error de entrenamiento: 0.0592717
Iteración 293	 Error de entrenamiento: 0.0591027
Iteración 294	 Error de entrenamiento: 0.0589304
Iteración 295	 Error de entrenamiento: 0.0587554
Iteración 296	 Error de entrenamiento: 0.0585786
Iteración 297	 Error de entrenamiento: 0.0584013
Iteración 298	 Error de entrenamiento: 0.058225
Iteración 299	 Error de entrenamiento: 0.0580515
Iteración 300	 Error de entrenamiento: 0.0578824
PESOS DE LA RED
===============
Vamos  a imprimir las entradas de las neuronas

Capa: 1
0.117854 0.274001 0.0786233 -0.566758 0.719651 -0.526462 0.28811 -0.00976888 -0.825491 -0.223764 -0.741998 -0.703305 1.05083 1.00768 0.745128 -0.90229 -0.479673 -0.768425 0.817336 0.184734 0.403664 1.03785 0.998151 -0.624364 -0.475702 -0.459274 -0.907608 0.796924 -0.29552 0.0415037 0.0503042 0.75122 -0.702827 -0.7886 -0.772766 0.992654 -0.448477 0.369505 -0.190288 -0.450007 1.00169 -0.0506415 -0.272312 0.847045 -0.157422 -0.55014 -1.01654 0.347516 -0.349489 0.820809 -0.448124 0.979368 0.773297 -0.545349 -0.724572 -0.790438 -0.127214 -0.764539 0.854495 0.49451 0.371867 0.040869 0.254623 0.582735 0.176694 0.497545 0.557367 0.669305 -0.183165 -0.627307 -0.802694 -0.27537 0.189599 -0.144441 -0.366155 -0.895391 0.40912 -0.309582 0.42088 -1.03764 -0.550245 0.988428 0.976135 -0.800214 -0.58165 -0.798787 -0.664783 0.232142 -0.534408 -0.698063 -0.166011 0.859521 0.351343 -0.874085 0.441104 -0.535794 0.588592 0.0322935 -0.851815 -0.581136 0.347699 -0.681272 0.11631 -0.407101 0.274869 0.874071 -0.296497 -0.353307 -0.439244 -0.86592 -0.405667 -0.0740103 -0.884288 -0.418219 0.140182 -0.478199 -0.21875 0.539167 0.862956 0.377852 0.957361 -0.306293 0.176429 0.2642 -0.2097 -0.412832 0.713369 -0.614129 0.672185 0.894119 -0.210087 0.0101536 -0.705409 -0.937514 0.721388 0.6369 0.956061 -0.541009 -0.758221 -0.54805 -0.485461 -0.206693 0.344477 -0.391768 0.459987 -0.431637 0.192478 -0.661065 -0.687457 0.191509 0.730986 -0.80894 0.821442 -0.147566 0.410902 -0.400981 0.426176 0.11226 -0.0877077 0.0838836 0.166934 0.850545 -0.817808 0.520274 1.02383 0.987535 0.122375 0.847811 -0.701921 0.320797 -0.73654 -0.199615 -0.873051 0.652682 0.398059 0.583806 -0.595867 -0.198437 -0.948922 -0.30686 0.957967 0.72081 -0.119939 0.795862 -0.443319 -0.733068 -0.662172 -0.976141 0.478752 0.349762 0.13717 -0.373779 0.381561 0.550698 -0.737318 0.383517 0.45543 0.366421 0.293876 0.866488 -0.276727 0.614433 -0.291901 -0.079419 0.340347 -0.792309 -0.414524 0.810236 0.160867 -0.2051 -0.41139 0.161183 -0.490059 0.460156 -0.00976876 0.138981 0.882375 0.422464 0.17329 0.321389 -0.197417 -0.609874 -0.949317 -0.748265 -0.97124 -0.588487 0.740254 0.556079 0.797204 0.0437373 0.434416 -0.434882 -0.292666 -0.881929 0.503813 -0.912014 -0.561793 -0.791696 0.99901 0.641089 0.00404685 -0.438243 -0.196552 0.510272 -0.940334 0.769092 -0.410651 0.841812 0.0890602 0.758239 0.19513 0.991431 -0.758447 0.362349 -0.677609 -0.726588 Salida: 0.919761
1.02445 0.748512 0.442061 -0.0612842 0.0503631 0.916865 0.606137 0.171257 0.381383 0.668119 0.603577 0.617335 0.690347 0.228648 -0.356824 -0.609247 -0.805033 -0.915485 -0.697847 0.718122 -0.328362 -0.846775 -0.12072 -0.58149 0.368908 -0.139165 -0.288984 -0.263319 0.175034 -0.117903 -0.662184 0.0164707 -0.407745 0.878095 -0.842575 0.81025 0.813128 0.736886 0.0265504 0.325303 0.560841 -0.240273 0.0597751 0.257255 0.938503 0.579092 0.4537 0.806759 0.570688 0.88174 0.757728 -0.656831 -1.0108 -0.413259 -0.179563 0.410694 0.515335 0.554402 -0.863656 -0.37399 -0.582401 -0.547449 0.663248 -0.0976875 -0.842385 0.930755 -0.0830603 -0.863756 0.604475 0.900495 0.459797 0.144928 -0.373994 -0.535374 -0.606389 -0.452747 -0.997045 0.873509 -0.63383 0.524437 0.585973 -0.735044 -0.881554 0.727181 -0.227696 -0.115725 0.114241 -0.770771 -0.589088 0.233885 -0.122327 -0.225989 0.625883 -0.41961 0.807018 0.842682 -0.63027 -0.185411 -0.856075 -0.869835 -0.249433 0.577141 0.227712 0.298734 0.989252 0.613498 0.793279 0.958442 0.458683 -0.687852 0.678936 0.155522 -0.598103 0.705112 -0.072303 0.290517 -0.345121 -0.959707 0.509751 0.0118425 0.227423 -0.627576 0.825978 -0.0986408 -0.0110712 0.748202 -0.101352 0.434271 -0.595863 -0.147554 0.452901 0.113028 -0.580365 -0.300558 -0.601959 -0.599208 -0.640815 -0.759157 -0.546404 0.866055 -0.457403 -0.858538 0.0529451 -0.0347228 0.755642 0.84818 -0.894309 -0.705007 -1.09223 0.733208 0.432904 0.30057 -0.760889 0.282005 -0.867206 0.147204 -0.0481915 -0.0247932 -0.421256 0.344798 0.79733 -1.06082 -0.664888 -0.860926 -0.272179 -0.017885 -0.18541 0.294375 0.33038 0.151804 0.0145733 0.695364 0.203857 -0.907495 -0.289545 -0.0305317 -0.963612 -0.221831 0.192073 -1.08511 -0.284068 -0.0860689 0.391531 0.0532527 -0.779669 0.458576 -0.944251 0.0749351 -0.640545 -0.344336 -0.492821 -0.808819 -0.240599 -0.0930168 -0.665954 0.484611 -0.971826 0.282882 -0.113683 0.389406 -0.563427 0.851839 0.00223174 0.563873 0.877773 0.741421 -0.418119 0.95802 -0.248556 -1.06038 -1.07011 0.461487 -0.131698 0.298058 -0.519607 0.0968931 -0.223294 -0.472185 -0.883967 0.0920527 0.187653 -0.336808 0.32491 1.00608 0.728837 0.840376 0.6105 0.729411 0.0230448 -0.650599 -0.0221185 0.384416 -0.86402 -1.03846 -0.0425408 -0.874978 0.814772 0.634277 -0.860365 -0.401658 0.68475 -0.846326 -0.902897 -0.437603 0.460794 -0.489583 0.512412 -0.902245 -0.00305398 0.686869 0.307147 -0.721514 -0.604126 -0.343119 -0.715823 -0.88682 Salida: 0.0357401
