**********
SEMILLA 10
**********
Iteración 139	 Error de entrenamiento: 0.122362
Iteración 140	 Error de entrenamiento: 0.121898
Iteración 141	 Error de entrenamiento: 0.121436
Iteración 142	 Error de entrenamiento: 0.120976
Iteración 143	 Error de entrenamiento: 0.120518
Iteración 144	 Error de entrenamiento: 0.120061
Iteración 145	 Error de entrenamiento: 0.119607
Iteración 146	 Error de entrenamiento: 0.119154
Iteración 147	 Error de entrenamiento: 0.118704
Iteración 148	 Error de entrenamiento: 0.118255
Iteración 149	 Error de entrenamiento: 0.117808
Iteración 150	 Error de entrenamiento: 0.117364
Iteración 151	 Error de entrenamiento: 0.116921
Iteración 152	 Error de entrenamiento: 0.11648
Iteración 153	 Error de entrenamiento: 0.116041
Iteración 154	 Error de entrenamiento: 0.115604
Iteración 155	 Error de entrenamiento: 0.115169
Iteración 156	 Error de entrenamiento: 0.114736
Iteración 157	 Error de entrenamiento: 0.114305
Iteración 158	 Error de entrenamiento: 0.113877
Iteración 159	 Error de entrenamiento: 0.11345
Iteración 160	 Error de entrenamiento: 0.113025
Iteración 161	 Error de entrenamiento: 0.112602
Iteración 162	 Error de entrenamiento: 0.112181
Iteración 163	 Error de entrenamiento: 0.111762
Iteración 164	 Error de entrenamiento: 0.111345
Iteración 165	 Error de entrenamiento: 0.11093
Iteración 166	 Error de entrenamiento: 0.110518
Iteración 167	 Error de entrenamiento: 0.110107
Iteración 168	 Error de entrenamiento: 0.109698
Iteración 169	 Error de entrenamiento: 0.109292
Iteración 170	 Error de entrenamiento: 0.108887
Iteración 171	 Error de entrenamiento: 0.108484
Iteración 172	 Error de entrenamiento: 0.108084
Iteración 173	 Error de entrenamiento: 0.107685
Iteración 174	 Error de entrenamiento: 0.107289
Iteración 175	 Error de entrenamiento: 0.106894
Iteración 176	 Error de entrenamiento: 0.106502
Iteración 177	 Error de entrenamiento: 0.106111
Iteración 178	 Error de entrenamiento: 0.105723
Iteración 179	 Error de entrenamiento: 0.105337
Iteración 180	 Error de entrenamiento: 0.104952
Iteración 181	 Error de entrenamiento: 0.10457
Iteración 182	 Error de entrenamiento: 0.10419
Iteración 183	 Error de entrenamiento: 0.103811
Iteración 184	 Error de entrenamiento: 0.103435
Iteración 185	 Error de entrenamiento: 0.103061
Iteración 186	 Error de entrenamiento: 0.102689
Iteración 187	 Error de entrenamiento: 0.102319
Iteración 188	 Error de entrenamiento: 0.101951
Iteración 189	 Error de entrenamiento: 0.101585
Iteración 190	 Error de entrenamiento: 0.101221
Iteración 191	 Error de entrenamiento: 0.100859
Iteración 192	 Error de entrenamiento: 0.100499
Iteración 193	 Error de entrenamiento: 0.100141
Iteración 194	 Error de entrenamiento: 0.0997852
Iteración 195	 Error de entrenamiento: 0.0994313
Iteración 196	 Error de entrenamiento: 0.0990795
Iteración 197	 Error de entrenamiento: 0.0987297
Iteración 198	 Error de entrenamiento: 0.0983819
Iteración 199	 Error de entrenamiento: 0.0980362
Iteración 200	 Error de entrenamiento: 0.0976924
Iteración 201	 Error de entrenamiento: 0.0973507
Iteración 202	 Error de entrenamiento: 0.0970109
Iteración 203	 Error de entrenamiento: 0.0966732
Iteración 204	 Error de entrenamiento: 0.0963375
