**********
SEMILLA 10
**********
Iteración 176	 Error de entrenamiento: 0.096589
Iteración 177	 Error de entrenamiento: 0.0964718
Iteración 178	 Error de entrenamiento: 0.0963547
Iteración 179	 Error de entrenamiento: 0.0962377
Iteración 180	 Error de entrenamiento: 0.0961207
Iteración 181	 Error de entrenamiento: 0.0960037
Iteración 182	 Error de entrenamiento: 0.0958869
Iteración 183	 Error de entrenamiento: 0.0957701
Iteración 184	 Error de entrenamiento: 0.0956533
Iteración 185	 Error de entrenamiento: 0.0955366
Iteración 186	 Error de entrenamiento: 0.0954199
Iteración 187	 Error de entrenamiento: 0.0953034
Iteración 188	 Error de entrenamiento: 0.0951868
Iteración 189	 Error de entrenamiento: 0.0950703
Iteración 190	 Error de entrenamiento: 0.0949539
Iteración 191	 Error de entrenamiento: 0.0948376
Iteración 192	 Error de entrenamiento: 0.0947212
Iteración 193	 Error de entrenamiento: 0.094605
Iteración 194	 Error de entrenamiento: 0.0944888
Iteración 195	 Error de entrenamiento: 0.0943727
Iteración 196	 Error de entrenamiento: 0.0942566
Iteración 197	 Error de entrenamiento: 0.0941405
Iteración 198	 Error de entrenamiento: 0.0940246
Iteración 199	 Error de entrenamiento: 0.0939087
Iteración 200	 Error de entrenamiento: 0.0937928
Iteración 201	 Error de entrenamiento: 0.093677
Iteración 202	 Error de entrenamiento: 0.0935613
Iteración 203	 Error de entrenamiento: 0.0934456
Iteración 204	 Error de entrenamiento: 0.0933299
Iteración 205	 Error de entrenamiento: 0.0932144
Iteración 206	 Error de entrenamiento: 0.0930989
Iteración 207	 Error de entrenamiento: 0.0929834
Iteración 208	 Error de entrenamiento: 0.092868
Iteración 209	 Error de entrenamiento: 0.0927527
Iteración 210	 Error de entrenamiento: 0.0926374
Iteración 211	 Error de entrenamiento: 0.0925221
Iteración 212	 Error de entrenamiento: 0.092407
Iteración 213	 Error de entrenamiento: 0.0922919
Iteración 214	 Error de entrenamiento: 0.0921768
Iteración 215	 Error de entrenamiento: 0.0920618
Iteración 216	 Error de entrenamiento: 0.0919469
Iteración 217	 Error de entrenamiento: 0.091832
Iteración 218	 Error de entrenamiento: 0.0917171
Iteración 219	 Error de entrenamiento: 0.0916024
Iteración 220	 Error de entrenamiento: 0.0914876
Iteración 221	 Error de entrenamiento: 0.091373
Iteración 222	 Error de entrenamiento: 0.0912583
Iteración 223	 Error de entrenamiento: 0.0911438
Iteración 224	 Error de entrenamiento: 0.0910293
Iteración 225	 Error de entrenamiento: 0.0909148
Iteración 226	 Error de entrenamiento: 0.0908004
Iteración 227	 Error de entrenamiento: 0.090686
Iteración 228	 Error de entrenamiento: 0.0905717
Iteración 229	 Error de entrenamiento: 0.0904575
Iteración 230	 Error de entrenamiento: 0.0903433
Iteración 231	 Error de entrenamiento: 0.0902291
Iteración 232	 Error de entrenamiento: 0.090115
Iteración 233	 Error de entrenamiento: 0.0900009
Iteración 234	 Error de entrenamiento: 0.0898869
Iteración 235	 Error de entrenamiento: 0.0897729
Iteración 236	 Error de entrenamiento: 0.089659
Iteración 237	 Error de entrenamiento: 0.0895451
Iteración 238	 Error de entrenamiento: 0.0894312
Iteración 239	 Error de entrenamiento: 0.0893174
Iteración 240	 Error de entrenamiento: 0.0892037
Iteración 241	 Error de entrenamiento: 0.0890899
Iteración 242	 Error de entrenamiento: 0.0889762
Iteración 243	 Error de entrenamiento: 0.0888626
Iteración 244	 Error de entrenamiento: 0.0887489
Iteración 245	 Error de entrenamiento: 0.0886353
Iteración 246	 Error de entrenamiento: 0.0885218
Iteración 247	 Error de entrenamiento: 0.0884082
Iteración 248	 Error de entrenamiento: 0.0882947
Iteración 249	 Error de entrenamiento: 0.0881812
Iteración 250	 Error de entrenamiento: 0.0880678
Iteración 251	 Error de entrenamiento: 0.0879543
Iteración 252	 Error de entrenamiento: 0.0878409
Iteración 253	 Error de entrenamiento: 0.0877275
Iteración 254	 Error de entrenamiento: 0.087614
Iteración 255	 Error de entrenamiento: 0.0875006
Iteración 256	 Error de entrenamiento: 0.0873872
Iteración 257	 Error de entrenamiento: 0.0872738
Iteración 258	 Error de entrenamiento: 0.0871603
Iteración 259	 Error de entrenamiento: 0.0870469
Iteración 260	 Error de entrenamiento: 0.0869334
Iteración 261	 Error de entrenamiento: 0.0868199
Iteración 262	 Error de entrenamiento: 0.0867064
Iteración 263	 Error de entrenamiento: 0.0865928
Iteración 264	 Error de entrenamiento: 0.0864791
Iteración 265	 Error de entrenamiento: 0.0863654
Iteración 266	 Error de entrenamiento: 0.0862517
Iteración 267	 Error de entrenamiento: 0.0861378
Iteración 268	 Error de entrenamiento: 0.0860238
Iteración 269	 Error de entrenamiento: 0.0859098
Iteración 270	 Error de entrenamiento: 0.0857956
Iteración 271	 Error de entrenamiento: 0.0856812
Iteración 272	 Error de entrenamiento: 0.0855667
Iteración 273	 Error de entrenamiento: 0.0854521
Iteración 274	 Error de entrenamiento: 0.0853372
Iteración 275	 Error de entrenamiento: 0.0852222
Iteración 276	 Error de entrenamiento: 0.0851069
Iteración 277	 Error de entrenamiento: 0.0849914
Iteración 278	 Error de entrenamiento: 0.0848756
Iteración 279	 Error de entrenamiento: 0.0847595
Iteración 280	 Error de entrenamiento: 0.0846431
Iteración 281	 Error de entrenamiento: 0.0845264
Iteración 282	 Error de entrenamiento: 0.0844093
Iteración 283	 Error de entrenamiento: 0.0842918
Iteración 284	 Error de entrenamiento: 0.0841738
Iteración 285	 Error de entrenamiento: 0.0840554
Iteración 286	 Error de entrenamiento: 0.0839365
Iteración 287	 Error de entrenamiento: 0.0838171
Iteración 288	 Error de entrenamiento: 0.0836971
Iteración 289	 Error de entrenamiento: 0.0835765
Iteración 290	 Error de entrenamiento: 0.0834553
Iteración 291	 Error de entrenamiento: 0.0833334
Iteración 292	 Error de entrenamiento: 0.0832108
Iteración 293	 Error de entrenamiento: 0.0830874
Iteración 294	 Error de entrenamiento: 0.0829633
Iteración 295	 Error de entrenamiento: 0.0828384
Iteración 296	 Error de entrenamiento: 0.0827126
Iteración 297	 Error de entrenamiento: 0.082586
Iteración 298	 Error de entrenamiento: 0.0824584
Iteración 299	 Error de entrenamiento: 0.0823299
Iteración 300	 Error de entrenamiento: 0.0822005
PESOS DE LA RED
===============
Vamos  a imprimir las entradas de las neuronas

Capa: 1
0.131145 0.226131 0.0155591 -0.641255 0.6284 -0.637862 0.161565 -0.161458 -0.956159 -0.375421 -0.883897 -0.838053 0.948949 0.955383 0.749339 -0.893004 -0.457396 -0.81004 0.757633 0.112932 0.316753 0.955815 0.921466 -0.720333 -0.548944 -0.567311 -0.97117 0.739979 -0.337568 0.0683953 0.107687 0.788286 -0.709709 -0.877848 -0.854168 0.914077 -0.516409 0.321102 -0.223735 -0.45224 0.963775 -0.0942119 -0.280299 0.913782 -0.146095 -0.546634 -0.989154 0.379533 -0.366294 0.772818 -0.498915 0.956264 0.734639 -0.56051 -0.746163 -0.804696 -0.127226 -0.72 0.928218 0.530276 0.344232 0.0321425 0.31762 0.628214 0.154873 0.469242 0.554539 0.643534 -0.199129 -0.657849 -0.797778 -0.235499 0.234538 -0.0895103 -0.330978 -0.91802 0.35883 -0.323714 0.460856 -1.00311 -0.541374 0.974089 0.965557 -0.801567 -0.581793 -0.779182 -0.611058 0.283606 -0.507628 -0.685773 -0.184512 0.836124 0.34769 -0.864285 0.468932 -0.489973 0.61916 0.0341028 -0.835617 -0.580475 0.375916 -0.641738 0.172644 -0.400243 0.265027 0.848839 -0.308822 -0.367579 -0.470096 -0.842989 -0.366906 -0.00390002 -0.851813 -0.382145 0.209149 -0.428806 -0.161746 0.593096 0.850539 0.329637 0.916246 -0.321091 0.178056 0.264051 -0.189559 -0.358629 0.777156 -0.564512 0.691761 0.95828 -0.132223 0.0718161 -0.675759 -0.950329 0.690198 0.606584 0.920365 -0.606419 -0.756543 -0.557983 -0.457113 -0.128588 0.440984 -0.308803 0.493357 -0.338691 0.27258 -0.663699 -0.74328 0.129234 0.679788 -0.813867 0.816393 -0.144684 0.449852 -0.375187 0.494898 0.226967 0.0549566 0.185586 0.192314 0.93973 -0.7281 0.52422 0.996289 0.969148 0.127743 0.89922 -0.659879 0.352377 -0.664186 -0.117001 -0.77176 0.780335 0.577597 0.720947 -0.552273 -0.134332 -0.924074 -0.285855 0.998441 0.750054 -0.119722 0.789315 -0.419503 -0.679869 -0.585323 -0.924946 0.550062 0.478849 0.268364 -0.252294 0.422758 0.559929 -0.715838 0.423784 0.514727 0.389942 0.300008 0.840575 -0.263894 0.63652 -0.270611 -0.0302925 0.433272 -0.684462 -0.300222 0.879128 0.179758 -0.213287 -0.395582 0.179749 -0.479378 0.482174 -0.0345351 0.101378 0.804025 0.385541 0.189897 0.362562 -0.129813 -0.534497 -0.887006 -0.706792 -0.986648 -0.617227 0.708145 0.525443 0.776329 0.0219026 0.376196 -0.475739 -0.330132 -0.883845 0.496696 -0.903029 -0.572135 -0.806833 0.978768 0.603803 -0.0324144 -0.433444 -0.229684 0.479908 -0.951671 0.738148 -0.413079 0.853672 0.126453 0.773663 0.20474 0.987014 -0.771836 0.313452 -0.721781 -0.760226 Salida: 0.925111
0.989652 0.782264 0.487681 0.00192916 0.122435 0.9796 0.645722 0.222615 0.455986 0.730835 0.639596 0.650524 0.704526 0.254539 -0.365516 -0.719814 -0.986773 -0.876274 -0.660512 0.763884 -0.312836 -0.826523 -0.111221 -0.55052 0.374995 -0.131365 -0.316593 -0.299784 0.156112 -0.0638587 -0.59529 0.158364 -0.316563 0.858904 -0.880166 0.792838 0.851861 0.802133 0.0516162 0.31425 0.510982 -0.315131 -0.0331767 0.238521 0.947532 0.608265 0.543096 0.978495 0.698876 0.824715 0.701651 -0.631364 -0.977057 -0.381808 -0.171355 0.373688 0.453361 0.49749 -0.914594 -0.380534 -0.575147 -0.52687 0.759334 0.112437 -0.675521 0.841836 -0.125752 -0.850161 0.646724 0.921023 0.440763 0.126698 -0.406376 -0.575656 -0.623157 -0.465581 -0.995011 0.884625 -0.513259 0.721365 0.750102 -0.811912 -0.932701 0.739838 -0.204937 -0.118724 0.0939657 -0.76154 -0.610863 0.192236 -0.133237 -0.200605 0.626124 -0.41701 0.878567 0.974754 -0.515103 -0.233832 -0.898933 -0.906901 -0.322395 0.540133 0.208244 0.263625 0.960945 0.599252 0.797787 0.964006 0.471057 -0.726963 0.671238 0.230017 -0.496688 0.755765 -0.0442118 0.276191 -0.368669 -0.951904 0.524553 0.0153111 0.238166 -0.613533 0.804003 -0.139139 -0.0277478 0.694292 -0.178272 0.458597 -0.51417 -0.0604985 0.533828 0.151849 -0.537079 -0.250698 -0.562182 -0.555102 -0.631406 -0.758388 -0.590305 0.837058 -0.490436 -0.934459 0.0531541 0.0184488 0.828667 0.999516 -0.711478 -0.556506 -0.974517 0.786326 0.448815 0.265936 -0.814914 0.268881 -0.87581 0.146913 -0.0497433 -0.0636031 -0.409853 0.432966 0.862543 -0.878352 -0.422443 -0.688645 -0.157405 -0.00785084 -0.259091 0.198889 0.213805 0.121065 0.0121555 0.721722 0.19297 -0.938696 -0.271515 0.000991781 -0.959897 0.00803748 0.452013 -0.927791 -0.214565 -0.1103 0.316395 -0.0598723 -0.862373 0.419009 -0.919776 0.0787073 -0.652678 -0.339489 -0.500862 -0.794356 -0.235379 0.0839502 -0.47402 0.641172 -0.919571 0.262886 -0.178267 0.282683 -0.622284 0.836814 0.0188471 0.574068 0.899016 0.725297 -0.431646 0.933134 -0.268359 -0.982707 -0.98304 0.524592 -0.0882319 0.333571 -0.55008 0.0384092 -0.251805 -0.466655 -0.877138 0.0941408 0.18414 -0.382365 0.299818 0.965015 0.702906 0.806115 0.570817 0.762631 0.0927774 -0.580461 0.0717935 0.474374 -0.736606 -0.91056 0.0484942 -0.848448 0.809602 0.614451 -0.912888 -0.455073 0.643705 -0.893175 -0.948918 -0.456042 0.454434 -0.464394 0.620967 -0.783661 0.0746089 0.739263 0.311597 -0.739027 -0.642318 -0.40012 -0.775365 -0.937726 Salida: 0.109788
0.855015 0.843576 0.538851 -0.747276 -0.0928194 0.0121536 -0.485378 0.00201604 -0.91877 -0.311729 -0.166888 0.719654 -0.19407 0.400245 0.366958 -0.101824 0.444753 0.909183 -0.652845 0.979081 0.518458 -0.445467 0.049654 0.247533 0.850392 0.300327 0.608199 -0.525203 0.567702 0.704725 -0.04955 0.41137 0.52928 -0.534411 0.644902 -0.556552 0.48572 -0.836092 0.427959 0.533475 -0.188677 -0.773724 0.228702 0.595303 0.612979 -0.413882 -0.487362 0.0911249 -0.499204 -0.159015 0.0414153 1.00059 0.39314 -0.920329 0.234755 0.222205 0.371843 -0.166735 0.685391 -0.0772406 -0.490305 -0.383621 -0.670474 -0.934162 0.0930642 0.95948 -0.530654 -0.446894 -0.890066 0.876392 -0.933914 -0.084743 -0.890186 0.288358 -0.504164 0.711491 0.868315 0.00202438 -0.215311 -0.619692 0.858877 0.813089 -0.647846 0.213719 0.870518 0.545749 -0.585812 0.242051 -0.610458 -0.890868 -0.827231 -0.0990846 -0.277787 -0.516943 -0.0685491 0.806975 -0.547418 0.396287 -0.672197 -0.466596 0.25406 -0.637032 0.425938 0.363101 0.671452 0.943175 0.0824324 0.541358 -0.0714253 0.847736 0.889138 -0.218765 0.67015 -0.770217 0.977693 0.52438 0.771472 -0.616664 -0.233411 -0.831068 -0.498325 -0.0662578 0.0526624 0.206834 0.410055 0.97522 -0.0151395 0.854386 0.369739 0.312566 -0.633436 -0.391335 0.677047 0.793505 0.988151 0.35487 0.722959 0.0439744 -0.12437 -0.35465 -0.108891 -0.242067 0.412419 -0.449024 -0.0141706 0.380357 -0.924695 -0.245119 0.763634 -0.156127 -0.0801618 -0.747339 0.762908 0.955651 0.451987 0.166972 0.92877 -0.566237 0.0105405 0.30086 0.741361 0.384711 0.920193 0.428663 0.169262 0.893978 -0.230929 -0.123155 -0.0797227 0.633205 0.521922 0.822971 -0.598849 -0.0636544 -0.623105 0.388641 -0.686524 -0.547333 -0.844064 -0.921464 0.278334 0.0525013 -0.686913 0.0268318 0.000674968 0.753702 -0.800955 -0.0551299 -0.783946 0.229054 -0.752563 0.963678 -0.401181 -0.82988 0.38982 0.76671 -0.95194 -0.857697 -0.366705 -0.0319511 0.78798 -0.833454 -0.192699 -0.786162 0.135541 0.198585 0.604776 0.43799 0.627772 0.755578 0.531263 -0.0725853 -0.179294 0.855529 0.960267 0.827283 0.632401 -0.82281 -0.209938 0.850119 0.401645 0.0338206 0.798824 0.982225 0.183986 0.180887 0.76201 0.253511 0.349977 -0.579394 -0.750673 0.157696 -0.393582 0.0440318 0.343132 0.703512 -0.775991 -0.0645814 0.13878 0.844923 -0.324585 -0.35443 -0.252839 0.479875 -0.492388 -0.281838 0.324139 -0.862256 -0.12356 -0.91776 0.948969 -0.741456 0.105957 0.749232 -0.755988 -0.711861 Salida: 0.998917
