**********
SEMILLA 10
**********
Iteración 279	 Error de entrenamiento: 0.0435473
Iteración 280	 Error de entrenamiento: 0.0433934
Iteración 281	 Error de entrenamiento: 0.0432402
Iteración 282	 Error de entrenamiento: 0.0430878
Iteración 283	 Error de entrenamiento: 0.042936
Iteración 284	 Error de entrenamiento: 0.042785
Iteración 285	 Error de entrenamiento: 0.0426347
Iteración 286	 Error de entrenamiento: 0.0424852
Iteración 287	 Error de entrenamiento: 0.0423363
Iteración 288	 Error de entrenamiento: 0.0421882
Iteración 289	 Error de entrenamiento: 0.0420408
Iteración 290	 Error de entrenamiento: 0.0418941
Iteración 291	 Error de entrenamiento: 0.0417482
Iteración 292	 Error de entrenamiento: 0.0416029
Iteración 293	 Error de entrenamiento: 0.0414584
Iteración 294	 Error de entrenamiento: 0.0413146
Iteración 295	 Error de entrenamiento: 0.0411715
Iteración 296	 Error de entrenamiento: 0.0410291
Iteración 297	 Error de entrenamiento: 0.0408874
Iteración 298	 Error de entrenamiento: 0.0407464
Iteración 299	 Error de entrenamiento: 0.0406061
Iteración 300	 Error de entrenamiento: 0.0404665
PESOS DE LA RED
===============
Vamos  a imprimir las entradas de las neuronas

Capa: 1
0.182315 0.245323 0.0439597 -0.617738 0.649102 -0.609727 0.180224 -0.131678 -0.933309 -0.36654 -0.861864 -0.80938 0.97898 0.993438 0.772137 -0.8883 -0.452311 -0.787785 0.767992 0.119327 0.316298 0.964322 0.941748 -0.709215 -0.553641 -0.579933 -0.99281 0.744415 -0.28078 0.123148 0.157148 0.809504 -0.697599 -0.86687 -0.846757 0.902752 -0.512922 0.319446 -0.210906 -0.439981 0.945272 -0.11926 -0.296565 0.902932 -0.137336 -0.509774 -0.963246 0.385747 -0.360159 0.767998 -0.528913 0.921892 0.711988 -0.567086 -0.747849 -0.807323 -0.127201 -0.726105 0.931481 0.541682 0.364419 0.0575394 0.324793 0.645434 0.17183 0.441678 0.506307 0.600088 -0.231315 -0.669668 -0.795678 -0.234231 0.23081 -0.0935479 -0.331854 -0.90637 0.384055 -0.294141 0.479307 -0.978439 -0.537543 0.946234 0.914379 -0.843822 -0.604455 -0.783799 -0.603977 0.312647 -0.503013 -0.692892 -0.177294 0.852052 0.365295 -0.840758 0.490679 -0.479234 0.620597 -0.00922039 -0.873643 -0.605997 0.370582 -0.638449 0.177018 -0.397516 0.27739 0.857901 -0.290598 -0.355499 -0.461047 -0.8262 -0.350435 0.00668057 -0.851172 -0.409034 0.181972 -0.445109 -0.15648 0.587708 0.860893 0.337833 0.927557 -0.312349 0.178791 0.283149 -0.163236 -0.341729 0.792751 -0.556305 0.695337 0.950294 -0.152101 0.0646269 -0.66948 -0.931004 0.712012 0.620392 0.944569 -0.581337 -0.750238 -0.546927 -0.45625 -0.12655 0.460955 -0.282869 0.499968 -0.353754 0.270995 -0.626998 -0.702697 0.176757 0.718001 -0.770599 0.861934 -0.109785 0.457506 -0.380768 0.480796 0.227615 0.0615832 0.192159 0.186108 0.964221 -0.679331 0.581248 1.04379 1.02069 0.174331 0.944697 -0.618442 0.379899 -0.636707 -0.103895 -0.764295 0.787084 0.57112 0.701117 -0.564097 -0.0885516 -0.872941 -0.240516 1.01166 0.778479 -0.0838254 0.837919 -0.37357 -0.645548 -0.564462 -0.911266 0.568386 0.49199 0.258942 -0.286816 0.388146 0.600916 -0.676798 0.433806 0.522066 0.407977 0.337597 0.882004 -0.210311 0.667183 -0.251988 -0.0251977 0.430572 -0.671541 -0.295146 0.862631 0.169083 -0.180937 -0.375097 0.198153 -0.462593 0.507924 0.00695063 0.132239 0.838298 0.407294 0.204295 0.361779 -0.131054 -0.527583 -0.869672 -0.70658 -0.987887 -0.591872 0.735031 0.554674 0.805006 0.0489392 0.388289 -0.464788 -0.332985 -0.894115 0.492683 -0.882355 -0.571676 -0.788887 1.00435 0.635532 -0.0096812 -0.424071 -0.215195 0.491231 -0.960892 0.724461 -0.429855 0.82408 0.0851764 0.742302 0.185599 0.972649 -0.779279 0.319557 -0.698131 -0.727892 Salida: 0.971919
0.96445 0.784967 0.480825 0.00268427 0.100997 0.946117 0.594618 0.17531 0.420851 0.714936 0.648872 0.64599 0.706171 0.260445 -0.360411 -0.689594 -0.968886 -0.883575 -0.672808 0.705462 -0.364199 -0.854454 -0.157362 -0.587711 0.376176 -0.124685 -0.301825 -0.289861 0.138555 -0.0867159 -0.626386 0.175192 -0.273145 0.843812 -0.919773 0.769443 0.809163 0.773779 0.0235505 0.304375 0.517895 -0.297971 0.00801435 0.252919 0.945449 0.5986 0.541237 1.01393 0.747733 0.808168 0.699675 -0.617575 -0.963312 -0.379309 -0.1501 0.418066 0.519836 0.537599 -0.880068 -0.395782 -0.596515 -0.508781 0.799022 0.168459 -0.628335 0.858396 -0.138576 -0.850709 0.636521 0.91174 0.522579 0.195609 -0.336366 -0.529645 -0.607588 -0.465408 -0.956558 0.957007 -0.444913 0.756278 0.77228 -0.789977 -0.925314 0.730838 -0.206769 -0.101931 0.149709 -0.736974 -0.616528 0.173914 -0.149986 -0.212754 0.69841 -0.340336 0.945222 1.01622 -0.506597 -0.224193 -0.897685 -0.883496 -0.288325 0.551058 0.220024 0.212975 0.87484 0.529488 0.752164 0.951423 0.526682 -0.656333 0.745805 0.253458 -0.489246 0.720815 -0.0475156 0.327221 -0.310808 -0.891631 0.53528 0.000536005 0.18126 -0.651369 0.775526 -0.134786 0.00690238 0.764874 -0.112597 0.488118 -0.528112 -0.0766351 0.53132 0.177084 -0.530531 -0.263708 -0.593495 -0.605178 -0.674473 -0.793237 -0.626061 0.810703 -0.435756 -0.857913 0.119061 0.0444663 0.797712 0.974025 -0.763617 -0.600703 -1.01407 0.730774 0.40812 0.234693 -0.823659 0.269884 -0.875635 0.163103 -0.0497163 0.00224215 -0.340726 0.435257 0.840504 -0.910554 -0.493705 -0.75462 -0.224751 -0.0787912 -0.325344 0.15303 0.205401 0.133372 0.0433339 0.760152 0.204479 -0.882463 -0.222224 0.00280752 -0.975376 -0.0485244 0.364015 -0.998012 -0.263368 -0.145951 0.299095 -0.065306 -0.862563 0.414231 -0.896565 0.133257 -0.598392 -0.295941 -0.469777 -0.80995 -0.244757 0.0152263 -0.561727 0.561507 -0.972359 0.219453 -0.202764 0.268216 -0.633099 0.838501 0.0459734 0.620245 0.922854 0.741353 -0.403495 0.924084 -0.281364 -1.02311 -1.02363 0.44687 -0.157031 0.277067 -0.593526 -0.007868 -0.282516 -0.474174 -0.878353 0.0859171 0.162212 -0.401272 0.275077 0.949465 0.668739 0.843973 0.587182 0.748491 0.0383692 -0.631728 0.0285387 0.406776 -0.822426 -1.01078 -0.0687567 -0.954833 0.747218 0.59651 -0.913573 -0.462146 0.615143 -0.849209 -0.919843 -0.423874 0.478287 -0.46137 0.598308 -0.825237 0.00336136 0.66296 0.250602 -0.737738 -0.649451 -0.365321 -0.763166 -0.919154 Salida: 0.047819
0.827239 0.856351 0.538745 -0.738057 -0.0851317 0.00500378 -0.499663 -0.0238584 -0.9499 -0.342824 -0.197606 0.68436 -0.238741 0.365567 0.362038 -0.069723 0.492908 0.91025 -0.633851 0.984146 0.508397 -0.478268 0.0101321 0.222407 0.838666 0.304794 0.59843 -0.537418 0.507337 0.652251 -0.106255 0.394172 0.548587 -0.521497 0.649717 -0.564323 0.445914 -0.869975 0.411182 0.52206 -0.193521 -0.775283 0.222004 0.578825 0.616089 -0.418329 -0.507153 0.0696981 -0.515114 -0.153901 0.0583285 0.995694 0.376277 -0.923305 0.234846 0.21275 0.38168 -0.167959 0.691274 -0.0891259 -0.489555 -0.358131 -0.667807 -0.979071 0.0548271 0.944217 -0.527025 -0.456911 -0.902728 0.882323 -0.901634 -0.0609765 -0.885665 0.304268 -0.480788 0.705737 0.888157 0.0206102 -0.208174 -0.663439 0.820162 0.806274 -0.66467 0.215513 0.877369 0.567733 -0.564497 0.243685 -0.627411 -0.897734 -0.846806 -0.111205 -0.266244 -0.49878 -0.0503273 0.773513 -0.584876 0.371689 -0.675239 -0.466061 0.269289 -0.632275 0.415175 0.332462 0.620571 0.89557 0.0434118 0.523367 -0.026595 0.879904 0.931588 -0.24034 0.645897 -0.797188 0.956422 0.541669 0.777383 -0.630357 -0.281815 -0.878201 -0.555817 -0.0920472 0.0464972 0.204377 0.433218 1.02183 0.0295892 0.853245 0.354217 0.283908 -0.652601 -0.38673 0.650382 0.732914 0.917193 0.296587 0.690986 0.0278156 -0.119273 -0.337953 -0.0649385 -0.164084 0.456401 -0.436784 -0.00987034 0.344105 -0.960496 -0.280451 0.719128 -0.226944 -0.143166 -0.778248 0.747376 0.981715 0.471613 0.189241 0.949122 -0.505362 0.041794 0.300188 0.745244 0.32819 0.84001 0.35723 0.10818 0.826884 -0.267012 -0.132932 -0.060984 0.643369 0.560374 0.850037 -0.556796 -0.0133087 -0.613497 0.402161 -0.678623 -0.607435 -0.929703 -0.977925 0.215911 0.022054 -0.688643 0.0416516 0.0407742 0.79623 -0.772597 -0.0325422 -0.76223 0.254282 -0.741778 0.955322 -0.409409 -0.888339 0.319386 0.717751 -1.0015 -0.885825 -0.369645 -0.0119836 0.797747 -0.824784 -0.201114 -0.793809 0.123727 0.197731 0.611924 0.45047 0.627213 0.707002 0.469018 -0.141458 -0.259648 0.781418 0.912723 0.806291 0.600204 -0.851168 -0.252527 0.813017 0.388723 0.0376953 0.799307 0.969881 0.175239 0.177544 0.73928 0.209893 0.268965 -0.669146 -0.83895 0.0777781 -0.476557 -0.0271636 0.261327 0.643376 -0.810834 -0.0946724 0.106336 0.806623 -0.368475 -0.326689 -0.248042 0.45801 -0.532106 -0.335733 0.277209 -0.909287 -0.17235 -0.955088 0.92054 -0.761594 0.104524 0.751037 -0.768818 -0.7197 Salida: 0.997028
0.966012 0.502767 -0.772743 -0.627584 0.741994 0.386659 -0.00692309 -0.201499 -0.22229 -0.2785 0.0440132 0.69144 0.867126 -0.11547 -0.685489 -0.580139 0.514335 0.768407 -0.0564721 -0.717246 0.0943599 0.0821909 0.126285 0.162246 0.00213269 0.36868 -0.781182 -0.299167 0.583589 -0.468985 0.645761 0.599604 -0.963943 0.908401 1.00785 0.821388 0.293601 -0.0734126 -0.470151 0.943826 0.538973 0.466379 0.534735 0.266065 -0.75891 0.815463 0.718159 0.85099 0.639459 -0.324582 -0.870747 -0.280852 0.687333 0.193891 0.796711 -0.364715 -0.485718 0.96969 0.277582 -0.934168 -0.546486 -0.071247 0.680598 -0.435581 -0.143851 0.697242 -0.649558 -0.853572 -0.403651 -0.175424 1.027 -0.889416 -0.753779 0.51386 0.336956 -0.52577 0.357811 0.101918 -0.642972 -0.000641169 0.758288 -0.561688 0.671531 0.468062 0.628538 0.428233 1.03025 -0.902499 0.360025 0.274118 -0.866114 0.821287 -0.747461 0.862821 -0.634648 0.0675608 0.477561 -0.350293 0.132513 -0.936846 0.428397 0.106391 -0.847437 0.667883 -0.392694 0.44642 -0.850291 0.9675 -0.405638 -0.516481 -0.0749383 -0.707441 -0.145377 -0.471476 0.7056 -0.573025 0.92387 0.729273 -0.46898 0.279595 -0.0144795 -0.326775 0.10095 0.208444 -0.491361 0.44375 -0.767431 0.958565 -0.957846 0.326739 1.00775 0.478486 -0.561737 -0.87304 0.123498 0.016505 0.556564 0.259168 -0.0237506 -0.878268 0.706968 0.909571 -0.568695 -0.429274 -0.620759 -0.893797 0.00279403 -0.687775 0.781487 0.445957 0.519303 -0.307704 -0.956364 -0.418522 0.890498 -0.461787 -0.96911 -0.817707 -0.380759 -0.846103 0.487982 -0.44013 0.561125 0.882084 -0.370414 -0.40639 -0.198627 -0.922175 0.784556 0.742722 -0.791397 0.51729 0.652849 -0.311136 -0.791944 -0.827739 -0.178975 0.11213 -0.606939 -0.456028 -0.46942 0.824851 0.185499 -0.439123 -0.574296 0.0982633 0.174503 -0.522867 0.301957 0.778141 -0.318062 -0.0932918 -0.596633 -0.820681 -0.313764 -0.0489199 -0.238291 0.467942 0.015976 -0.427954 0.262744 0.28477 -0.862115 -0.0351064 -0.98528 -0.686643 0.154204 -0.128144 0.476958 0.439824 0.30386 0.951918 0.315534 -0.456388 -0.410895 0.783961 0.679824 0.783586 -0.688777 0.0292268 0.610609 0.00606063 0.893307 0.960352 0.124272 -0.483967 -0.139254 0.932843 -0.944174 0.979332 -0.421703 0.40153 0.329008 -0.240764 -0.622969 0.307534 0.00784443 0.376828 -0.966546 -0.615201 -0.222897 0.340878 -0.616167 -0.841612 0.92283 0.00698853 0.959224 0.630628 -0.182829 -0.688291 -0.348834 -0.639366 0.184139 -0.604081 -0.778499 -0.725164 Salida: 0.719001
