**********
SEMILLA 10
**********
Iteración 410	 Error de entrenamiento: 0,00212438
Iteración 411	 Error de entrenamiento: 0,00211753
Iteración 412	 Error de entrenamiento: 0,00211077
Iteración 413	 Error de entrenamiento: 0,00210408
Iteración 414	 Error de entrenamiento: 0,00209745
Iteración 415	 Error de entrenamiento: 0,00209086
Iteración 416	 Error de entrenamiento: 0,0020843
Iteración 417	 Error de entrenamiento: 0,00207775
Iteración 418	 Error de entrenamiento: 0,00207121
Iteración 419	 Error de entrenamiento: 0,00206466
Iteración 420	 Error de entrenamiento: 0,00205809
Iteración 421	 Error de entrenamiento: 0,00205149
Iteración 422	 Error de entrenamiento: 0,00204487
Iteración 423	 Error de entrenamiento: 0,00203821
Iteración 424	 Error de entrenamiento: 0,00203151
Iteración 425	 Error de entrenamiento: 0,00202476
Iteración 426	 Error de entrenamiento: 0,00201798
Iteración 427	 Error de entrenamiento: 0,00201115
Iteración 428	 Error de entrenamiento: 0,00200427
Iteración 429	 Error de entrenamiento: 0,00199736
Iteración 430	 Error de entrenamiento: 0,00199041
Iteración 431	 Error de entrenamiento: 0,00198343
Iteración 432	 Error de entrenamiento: 0,00197643
Iteración 433	 Error de entrenamiento: 0,0019694
Iteración 434	 Error de entrenamiento: 0,00196236
Iteración 435	 Error de entrenamiento: 0,00195531
Iteración 436	 Error de entrenamiento: 0,00194826
Iteración 437	 Error de entrenamiento: 0,00194122
Iteración 438	 Error de entrenamiento: 0,0019342
Iteración 439	 Error de entrenamiento: 0,00192721
Iteración 440	 Error de entrenamiento: 0,00192025
Iteración 441	 Error de entrenamiento: 0,00191334
Iteración 442	 Error de entrenamiento: 0,00190648
Iteración 443	 Error de entrenamiento: 0,00189969
Iteración 444	 Error de entrenamiento: 0,00189298
Iteración 445	 Error de entrenamiento: 0,00188635
Iteración 446	 Error de entrenamiento: 0,00187981
Iteración 447	 Error de entrenamiento: 0,00187338
Iteración 448	 Error de entrenamiento: 0,00186706
Iteración 449	 Error de entrenamiento: 0,00186086
Iteración 450	 Error de entrenamiento: 0,00185479
Iteración 451	 Error de entrenamiento: 0,00184886
Iteración 452	 Error de entrenamiento: 0,00184307
Iteración 453	 Error de entrenamiento: 0,00183744
Iteración 454	 Error de entrenamiento: 0,00183197
Iteración 455	 Error de entrenamiento: 0,00182667
Iteración 456	 Error de entrenamiento: 0,00182155
Iteración 457	 Error de entrenamiento: 0,0018166
Iteración 458	 Error de entrenamiento: 0,00181185
Iteración 459	 Error de entrenamiento: 0,00180728
Iteración 460	 Error de entrenamiento: 0,00180291
Iteración 461	 Error de entrenamiento: 0,00179874
Iteración 462	 Error de entrenamiento: 0,00179477
Iteración 463	 Error de entrenamiento: 0,00179102
Iteración 464	 Error de entrenamiento: 0,00178747
Iteración 465	 Error de entrenamiento: 0,00178413
Iteración 466	 Error de entrenamiento: 0,001781
Iteración 467	 Error de entrenamiento: 0,00177809
Iteración 468	 Error de entrenamiento: 0,0017754
Iteración 469	 Error de entrenamiento: 0,00177292
Iteración 470	 Error de entrenamiento: 0,00177065
Iteración 471	 Error de entrenamiento: 0,00176859
Iteración 472	 Error de entrenamiento: 0,00176674
Iteración 473	 Error de entrenamiento: 0,0017651
Iteración 474	 Error de entrenamiento: 0,00176367
Iteración 475	 Error de entrenamiento: 0,00176243
Iteración 476	 Error de entrenamiento: 0,00176139
Iteración 477	 Error de entrenamiento: 0,00176055
Iteración 478	 Error de entrenamiento: 0,00175988
Iteración 479	 Error de entrenamiento: 0,0017594
Iteración 480	 Error de entrenamiento: 0,00175909
Iteración 481	 Error de entrenamiento: 0,00175894
Iteración 482	 Error de entrenamiento: 0,00175895
Iteración 483	 Error de entrenamiento: 0,00175911
Iteración 484	 Error de entrenamiento: 0,00175942
Iteración 485	 Error de entrenamiento: 0,00175985
Iteración 486	 Error de entrenamiento: 0,0017604
Iteración 487	 Error de entrenamiento: 0,00176107
Iteración 488	 Error de entrenamiento: 0,00176183
Iteración 489	 Error de entrenamiento: 0,00176269
Iteración 490	 Error de entrenamiento: 0,00176362
Iteración 491	 Error de entrenamiento: 0,00176462
Iteración 492	 Error de entrenamiento: 0,00176567
Iteración 493	 Error de entrenamiento: 0,00176677
Iteración 494	 Error de entrenamiento: 0,0017679
Iteración 495	 Error de entrenamiento: 0,00176905
Iteración 496	 Error de entrenamiento: 0,0017702
Iteración 497	 Error de entrenamiento: 0,00177135
Iteración 498	 Error de entrenamiento: 0,00177248
Iteración 499	 Error de entrenamiento: 0,00177358
Iteración 500	 Error de entrenamiento: 0,00177464
Iteración 501	 Error de entrenamiento: 0,00177565
Iteración 502	 Error de entrenamiento: 0,0017766
Iteración 503	 Error de entrenamiento: 0,00177747
Iteración 504	 Error de entrenamiento: 0,00177826
Iteración 505	 Error de entrenamiento: 0,00177896
Iteración 506	 Error de entrenamiento: 0,00177956
Iteración 507	 Error de entrenamiento: 0,00178005
Iteración 508	 Error de entrenamiento: 0,00178042
Iteración 509	 Error de entrenamiento: 0,00178067
Iteración 510	 Error de entrenamiento: 0,00178079
Iteración 511	 Error de entrenamiento: 0,00178078
Iteración 512	 Error de entrenamiento: 0,00178064
Iteración 513	 Error de entrenamiento: 0,00178035
Iteración 514	 Error de entrenamiento: 0,00177992
Iteración 515	 Error de entrenamiento: 0,00177935
Iteración 516	 Error de entrenamiento: 0,00177864
Iteración 517	 Error de entrenamiento: 0,00177778
Iteración 518	 Error de entrenamiento: 0,00177678
Iteración 519	 Error de entrenamiento: 0,00177565
Iteración 520	 Error de entrenamiento: 0,00177438
Iteración 521	 Error de entrenamiento: 0,00177297
Iteración 522	 Error de entrenamiento: 0,00177144
Iteración 523	 Error de entrenamiento: 0,00176979
Iteración 524	 Error de entrenamiento: 0,00176803
Iteración 525	 Error de entrenamiento: 0,00176616
Iteración 526	 Error de entrenamiento: 0,00176418
Iteración 527	 Error de entrenamiento: 0,00176212
Iteración 528	 Error de entrenamiento: 0,00175997
Iteración 529	 Error de entrenamiento: 0,00175774
Iteración 530	 Error de entrenamiento: 0,00175544
Iteración 531	 Error de entrenamiento: 0,00175309
Iteración 532	 Error de entrenamiento: 0,00175068
Iteración 533	 Error de entrenamiento: 0,00174823
Iteración 534	 Error de entrenamiento: 0,00174575
Iteración 535	 Error de entrenamiento: 0,00174324
Iteración 536	 Error de entrenamiento: 0,00174072
Iteración 537	 Error de entrenamiento: 0,00173818
Iteración 538	 Error de entrenamiento: 0,00173565
Iteración 539	 Error de entrenamiento: 0,00173311
Iteración 540	 Error de entrenamiento: 0,00173059
Iteración 541	 Error de entrenamiento: 0,00172808
Iteración 542	 Error de entrenamiento: 0,0017256
Iteración 543	 Error de entrenamiento: 0,00172314
Iteración 544	 Error de entrenamiento: 0,00172071
Iteración 545	 Error de entrenamiento: 0,00171831
Iteración 546	 Error de entrenamiento: 0,00171594
Iteración 547	 Error de entrenamiento: 0,00171361
Iteración 548	 Error de entrenamiento: 0,00171131
Iteración 549	 Error de entrenamiento: 0,00170905
Iteración 550	 Error de entrenamiento: 0,00170682
Iteración 551	 Error de entrenamiento: 0,00170463
Iteración 552	 Error de entrenamiento: 0,00170246
Iteración 553	 Error de entrenamiento: 0,00170032
Iteración 554	 Error de entrenamiento: 0,0016982
Iteración 555	 Error de entrenamiento: 0,0016961
Iteración 556	 Error de entrenamiento: 0,00169402
Iteración 557	 Error de entrenamiento: 0,00169194
