**********
SEMILLA 10
**********
Iteración 200	 Error de entrenamiento: 0,0403697
Iteración 201	 Error de entrenamiento: 0,0399298
Iteración 202	 Error de entrenamiento: 0,0394775
Iteración 203	 Error de entrenamiento: 0,0390139
Iteración 204	 Error de entrenamiento: 0,03854
Iteración 205	 Error de entrenamiento: 0,0380572
Iteración 206	 Error de entrenamiento: 0,0375667
Iteración 207	 Error de entrenamiento: 0,0370701
Iteración 208	 Error de entrenamiento: 0,0365687
Iteración 209	 Error de entrenamiento: 0,0360639
Iteración 210	 Error de entrenamiento: 0,0355572
Iteración 211	 Error de entrenamiento: 0,03505
Iteración 212	 Error de entrenamiento: 0,0345434
Iteración 213	 Error de entrenamiento: 0,0340389
Iteración 214	 Error de entrenamiento: 0,0335374
Iteración 215	 Error de entrenamiento: 0,03304
Iteración 216	 Error de entrenamiento: 0,0325476
Iteración 217	 Error de entrenamiento: 0,0320611
Iteración 218	 Error de entrenamiento: 0,0315812
Iteración 219	 Error de entrenamiento: 0,0311086
Iteración 220	 Error de entrenamiento: 0,0306437
Iteración 221	 Error de entrenamiento: 0,0301871
Iteración 222	 Error de entrenamiento: 0,0297391
Iteración 223	 Error de entrenamiento: 0,0293002
Iteración 224	 Error de entrenamiento: 0,0288705
Iteración 225	 Error de entrenamiento: 0,0284504
Iteración 226	 Error de entrenamiento: 0,0280399
Iteración 227	 Error de entrenamiento: 0,0276393
Iteración 228	 Error de entrenamiento: 0,0272486
Iteración 229	 Error de entrenamiento: 0,0268679
Iteración 230	 Error de entrenamiento: 0,0264971
Iteración 231	 Error de entrenamiento: 0,0261364
Iteración 232	 Error de entrenamiento: 0,0257857
Iteración 233	 Error de entrenamiento: 0,0254449
Iteración 234	 Error de entrenamiento: 0,025114
Iteración 235	 Error de entrenamiento: 0,0247928
Iteración 236	 Error de entrenamiento: 0,0244812
Iteración 237	 Error de entrenamiento: 0,0241791
Iteración 238	 Error de entrenamiento: 0,0238863
Iteración 239	 Error de entrenamiento: 0,0236026
Iteración 240	 Error de entrenamiento: 0,0233279
Iteración 241	 Error de entrenamiento: 0,0230619
Iteración 242	 Error de entrenamiento: 0,0228043
Iteración 243	 Error de entrenamiento: 0,022555
Iteración 244	 Error de entrenamiento: 0,0223137
Iteración 245	 Error de entrenamiento: 0,0220801
Iteración 246	 Error de entrenamiento: 0,021854
Iteración 247	 Error de entrenamiento: 0,021635
Iteración 248	 Error de entrenamiento: 0,021423
Iteración 249	 Error de entrenamiento: 0,0212175
Iteración 250	 Error de entrenamiento: 0,0210184
Iteración 251	 Error de entrenamiento: 0,0208253
Iteración 252	 Error de entrenamiento: 0,0206379
Iteración 253	 Error de entrenamiento: 0,020456
Iteración 254	 Error de entrenamiento: 0,0202793
Iteración 255	 Error de entrenamiento: 0,0201074
Iteración 256	 Error de entrenamiento: 0,0199401
Iteración 257	 Error de entrenamiento: 0,0197772
Iteración 258	 Error de entrenamiento: 0,0196183
Iteración 259	 Error de entrenamiento: 0,0194632
Iteración 260	 Error de entrenamiento: 0,0193117
Iteración 261	 Error de entrenamiento: 0,0191634
Iteración 262	 Error de entrenamiento: 0,0190182
Iteración 263	 Error de entrenamiento: 0,0188758
Iteración 264	 Error de entrenamiento: 0,0187361
Iteración 265	 Error de entrenamiento: 0,0185987
Iteración 266	 Error de entrenamiento: 0,0184635
Iteración 267	 Error de entrenamiento: 0,0183303
Iteración 268	 Error de entrenamiento: 0,0181989
Iteración 269	 Error de entrenamiento: 0,0180692
Iteración 270	 Error de entrenamiento: 0,0179409
Iteración 271	 Error de entrenamiento: 0,0178139
Iteración 272	 Error de entrenamiento: 0,0176881
Iteración 273	 Error de entrenamiento: 0,0175633
Iteración 274	 Error de entrenamiento: 0,0174395
Iteración 275	 Error de entrenamiento: 0,0173163
Iteración 276	 Error de entrenamiento: 0,0171939
Iteración 277	 Error de entrenamiento: 0,017072
Iteración 278	 Error de entrenamiento: 0,0169506
Iteración 279	 Error de entrenamiento: 0,0168296
Iteración 280	 Error de entrenamiento: 0,0167088
Iteración 281	 Error de entrenamiento: 0,0165884
Iteración 282	 Error de entrenamiento: 0,016468
Iteración 283	 Error de entrenamiento: 0,0163478
Iteración 284	 Error de entrenamiento: 0,0162277
Iteración 285	 Error de entrenamiento: 0,0161076
Iteración 286	 Error de entrenamiento: 0,0159875
Iteración 287	 Error de entrenamiento: 0,0158674
Iteración 288	 Error de entrenamiento: 0,0157472
Iteración 289	 Error de entrenamiento: 0,015627
Iteración 290	 Error de entrenamiento: 0,0155067
Iteración 291	 Error de entrenamiento: 0,0153863
Iteración 292	 Error de entrenamiento: 0,0152659
Iteración 293	 Error de entrenamiento: 0,0151454
Iteración 294	 Error de entrenamiento: 0,0150248
Iteración 295	 Error de entrenamiento: 0,0149042
Iteración 296	 Error de entrenamiento: 0,0147836
Iteración 297	 Error de entrenamiento: 0,0146631
Iteración 298	 Error de entrenamiento: 0,0145425
Iteración 299	 Error de entrenamiento: 0,0144221
Iteración 300	 Error de entrenamiento: 0,0143018
Iteración 301	 Error de entrenamiento: 0,0141816
Iteración 302	 Error de entrenamiento: 0,0140617
Iteración 303	 Error de entrenamiento: 0,013942
Iteración 304	 Error de entrenamiento: 0,0138225
Iteración 305	 Error de entrenamiento: 0,0137035
Iteración 306	 Error de entrenamiento: 0,0135848
Iteración 307	 Error de entrenamiento: 0,0134666
Iteración 308	 Error de entrenamiento: 0,0133489
Iteración 309	 Error de entrenamiento: 0,0132317
Iteración 310	 Error de entrenamiento: 0,0131151
Iteración 311	 Error de entrenamiento: 0,0129993
Iteración 312	 Error de entrenamiento: 0,0128841
Iteración 313	 Error de entrenamiento: 0,0127697
Iteración 314	 Error de entrenamiento: 0,0126561
Iteración 315	 Error de entrenamiento: 0,0125435
Iteración 316	 Error de entrenamiento: 0,0124317
Iteración 317	 Error de entrenamiento: 0,012321
Iteración 318	 Error de entrenamiento: 0,0122113
Iteración 319	 Error de entrenamiento: 0,0121027
Iteración 320	 Error de entrenamiento: 0,0119952
Iteración 321	 Error de entrenamiento: 0,0118889
Iteración 322	 Error de entrenamiento: 0,0117838
Iteración 323	 Error de entrenamiento: 0,01168
Iteración 324	 Error de entrenamiento: 0,0115775
Iteración 325	 Error de entrenamiento: 0,0114763
Iteración 326	 Error de entrenamiento: 0,0113765
Iteración 327	 Error de entrenamiento: 0,0112781
Iteración 328	 Error de entrenamiento: 0,0111811
Iteración 329	 Error de entrenamiento: 0,0110856
Iteración 330	 Error de entrenamiento: 0,0109916
Iteración 331	 Error de entrenamiento: 0,0108991
Iteración 332	 Error de entrenamiento: 0,0108081
Iteración 333	 Error de entrenamiento: 0,0107187
Iteración 334	 Error de entrenamiento: 0,0106308
Iteración 335	 Error de entrenamiento: 0,0105445
Iteración 336	 Error de entrenamiento: 0,0104597
Iteración 337	 Error de entrenamiento: 0,0103766
Iteración 338	 Error de entrenamiento: 0,010295
Iteración 339	 Error de entrenamiento: 0,010215
Iteración 340	 Error de entrenamiento: 0,0101365
Iteración 341	 Error de entrenamiento: 0,0100597
Iteración 342	 Error de entrenamiento: 0,0099844
Iteración 343	 Error de entrenamiento: 0,00991068
Iteración 344	 Error de entrenamiento: 0,00983851
Iteración 345	 Error de entrenamiento: 0,00976788
Iteración 346	 Error de entrenamiento: 0,00969877
Iteración 347	 Error de entrenamiento: 0,00963118
Iteración 348	 Error de entrenamiento: 0,00956508
Iteración 349	 Error de entrenamiento: 0,00950046
Iteración 350	 Error de entrenamiento: 0,00943729
